"Freq [MHz]","Gap [mm]","k1 []","I1 [A]","SolidLoss [W]"
1,0.2,1,0.6,0.02839430952
1,0.2,1,0.65,0.03332387715
1,0.2,1,0.7,0.03864781019
1,0.2,1,0.75,0.04436610863
1,0.2,1,0.8,0.05047877249
1,0.2,1,0.85,0.05698580175
1,0.2,1,0.9,0.06388719643
1,0.2,1,0.95,0.07118295652
1,0.2,1,1,0.07887308201
1,0.2,1,1.05,0.08695757292
1,0.2,1,1.1,0.09543642924
1,0.2,1,1.15,0.104309651
1,0.2,1,1.2,0.1135772381
1,0.2,1,1.25,0.1232391906
1,0.2,1,1.3,0.1332955086
1,0.2,1,1.35,0.143746192
1,0.2,1,1.4,0.1545912407
1,0.2,1,1.45,0.1658306549
1,0.2,1,1.5,0.1774644345
1,0.2,1,1.55,0.1894925795
1,0.2,1,1.6,0.20191509
1,0.2,1,1.65,0.2147319658
1,0.2,1,1.7,0.227943207
1,0.2,1,1.75,0.2415488137
1,0.2,1,1.8,0.2555487857
1,0.2,1,1.85,0.2699431232
1,0.2,1,1.9,0.2847318261
1,0.2,1,1.95,0.2999148944
1,0.2,1,2,0.3154923281
1,0.2,1,2.05,0.3314641272
1,0.2,1,2.1,0.3478302917
1,0.2,1,2.15,0.3645908216
1,0.2,1,2.2,0.3817457169
1,0.2,1,2.25,0.3992949777
1,0.2,1,2.3,0.4172386039
1,0.2,1,2.35,0.4355765954
1,0.2,1,2.4,0.4543089524
1,0.2,1,2.45,0.4734356748
1,0.2,1,2.5,0.4929567626
1,0.2,1,2.6,0.5331820344
1,0.2,1,2.8,0.618364963
1,0.2,1,3,0.7098577381
1,0.2,1,3.2,0.8076603598
1,0.2,1,3.4,0.9117728281
1,0.2,1,3.6,1.022195143
1,0.2,1,3.8,1.138927304
1,0.2,1,4,1.261969312
1,0.2,1,4.2,1.391321167
1,0.2,1,4.4,1.526982868
1,0.2,1,4.6,1.668954415
1,0.2,1,4.8,1.81723581
1,0.2,1,5,1.97182705
1,0.3,0,0.2,0.004495345457
1,0.3,0,0.25,0.007023977276
1,0.3,0,0.3,0.01011452728
1,0.3,0,0.35,0.01376699546
1,0.3,0,0.4,0.01798138183
1,0.3,0,0.45,0.02275768638
1,0.3,0,0.5,0.02809590911
1,0.3,0,0.55,0.03399605002
1,0.3,0,0.6,0.04045810911
1,0.3,0,0.65,0.04748208639
1,0.3,0,0.7,0.05506798185
1,0.3,0,0.75,0.06321579549
1,0.3,0,0.8,0.07192552731
1,0.3,0,0.85,0.08119717732
1,0.3,0,0.9,0.0910307455
1,0.3,0,0.95,0.1014262319
1,0.3,0,1,0.1123836364
1,0.3,0,1.05,0.1239029592
1,0.3,0,1.1,0.1359842001
1,0.3,0,1.15,0.1486273592
1,0.3,0,1.2,0.1618324364
1,0.3,0,1.25,0.1755994319
1,0.3,0,1.3,0.1899283456
1,0.3,0,1.35,0.2048191774
1,0.3,0,1.4,0.2202719274
1,0.3,0,1.45,0.2362865956
1,0.3,0,1.5,0.252863182
1,0.3,0,1.55,0.2700016865
1,0.3,0,1.6,0.2877021092
1,0.3,0,1.65,0.3059644502
1,0.3,0,1.7,0.3247887093
1,0.3,0,1.75,0.3441748865
1,0.3,0,1.8,0.364122982
1,0.3,0,1.85,0.3846329957
1,0.3,0,1.9,0.4057049275
1,0.3,0,1.95,0.4273387775
1,0.3,0,2,0.4495345457
1,0.3,0,2.05,0.4722922321
1,0.3,0,2.1,0.4956118366
1,0.3,0,2.15,0.5194933594
1,0.3,0,2.2,0.5439368003
1,0.3,0,2.25,0.5689421594
1,0.3,0,2.3,0.5945094367
1,0.3,0,2.35,0.6206386322
1,0.3,0,2.4,0.6473297458
1,0.3,0,2.45,0.6745827776
