"Freq [MHz]","Gap [mm]","k1 []","I1 [A]","CoreLoss+SolidLoss [W]"
1,0.2,1,0.6,0.03857900952
1,0.2,1,0.65,0.04569137715
1,0.2,1,0.7,0.05345121019
1,0.2,1,0.75,0.06186660863
1,0.2,1,0.8,0.07094547249
1,0.2,1,0.85,0.08069530175
1,0.2,1,0.9,0.09112329643
1,0.2,1,0.95,0.10223645652
1,0.2,1,1,0.11404148201
1,0.2,1,1.05,0.12654507292
1,0.2,1,1.1,0.13975352924
1,0.2,1,1.15,0.153673051
1,0.2,1,1.2,0.1683098381
1,0.2,1,1.25,0.1836696906
1,0.2,1,1.3,0.1997584086
1,0.2,1,1.35,0.216581492
1,0.2,1,1.4,0.2341447407
1,0.2,1,1.45,0.2524532549
1,0.2,1,1.5,0.2715125345
1,0.2,1,1.55,0.2913275795
1,0.2,1,1.6,0.31190409
1,0.2,1,1.65,0.3332459658
1,0.2,1,1.7,0.355358207
1,0.2,1,1.75,0.3782468137
1,0.2,1,1.8,0.4019157857
1,0.2,1,1.85,0.4263701232
1,0.2,1,1.9,0.4516138261
1,0.2,1,1.95,0.4776508944
1,0.2,1,2,0.5044873281
1,0.2,1,2.05,0.5321271272
1,0.2,1,2.1,0.5605742917
1,0.2,1,2.15,0.5898318216
1,0.2,1,2.2,0.6199067169
1,0.2,1,2.25,0.6507999777
1,0.2,1,2.3,0.6825186039
1,0.2,1,2.35,0.7150645954
1,0.2,1,2.4,0.7484429524
1,0.2,1,2.45,0.7826566748
1,0.2,1,2.5,0.8177107626
1,0.2,1,2.6,0.8903540344
1,0.2,1,2.8,1.045885963
1,0.2,1,3,1.2152737381
1,0.2,1,3.2,1.3987403598
1,0.2,1,3.4,1.5965048281
1,0.2,1,3.6,1.808774143
1,0.2,1,3.8,2.035751304
1,0.2,1,4,2.277629312
1,0.2,1,4.2,2.534611167
1,0.2,1,4.4,2.806862868
1,0.2,1,4.6,3.094574415
1,0.2,1,4.8,3.39791581
1,0.2,1,5,3.71705705
1,0.3,0,0.2,0.004823998457
1,0.3,0,0.25,0.007588708276
1,0.3,0,0.3,0.01099341928
1,0.3,0,0.35,0.01504445546
1,0.3,0,0.4,0.01974757183
1,0.3,0,0.45,0.02510803638
1,0.3,0,0.5,0.03113077911
1,0.3,0,0.55,0.03782041002
1,0.3,0,0.6,0.04518128911
1,0.3,0,0.65,0.05321752639
1,0.3,0,0.7,0.06193308185
1,0.3,0,0.75,0.07133171549
1,0.3,0,0.8,0.08141704731
1,0.3,0,0.85,0.09219257732
1,0.3,0,0.9,0.1036615455
1,0.3,0,0.95,0.1158273319
1,0.3,0,1,0.1286930364
1,0.3,0,1.05,0.1422617592
1,0.3,0,1.1,0.1565364001
1,0.3,0,1.15,0.1715197592
1,0.3,0,1.2,0.1872148364
1,0.3,0,1.25,0.2036242319
1,0.3,0,1.3,0.2207507456
1,0.3,0,1.35,0.2385967774
1,0.3,0,1.4,0.2571651274
1,0.3,0,1.45,0.2764580956
1,0.3,0,1.5,0.296478282
1,0.3,0,1.55,0.3172279865
1,0.3,0,1.6,0.3387096092
1,0.3,0,1.65,0.3609255502
1,0.3,0,1.7,0.3838779093
1,0.3,0,1.75,0.4075690865
1,0.3,0,1.8,0.432001182
1,0.3,0,1.85,0.4571763957
1,0.3,0,1.9,0.4830968275
1,0.3,0,1.95,0.5097645775
1,0.3,0,2,0.5371817457
1,0.3,0,2.05,0.5653503321
1,0.3,0,2.1,0.5942723366
1,0.3,0,2.15,0.6239493594
1,0.3,0,2.2,0.6543848003
1,0.3,0,2.25,0.6855781594
1,0.3,0,2.3,0.7175334367
1,0.3,0,2.35,0.7502516322
1,0.3,0,2.4,0.7837347458
1,0.3,0,2.45,0.8179847776
1,0.3,0,2.5,0.8530037276
1,0.3,0,2.6,0.9253533822
1,0.3,0,2.8,1.0793517095
1,0.3,0,3,1.245840728
1,0.3,0,3.2,1.424923437
1,0.3,0,3.4,1.616700837
1,0.3,0,3.6,1.821269928
1,0.3,0,3.8,2.03872471
1,0.3,0,4,2.269155183
1,0.3,0,4.2,2.512650346
1,0.3,0,4.4,2.769294201
1,0.3,0,4.6,3.039171747
1,0.3,0,4.8,3.322363983
1,0.3,0,5,3.618948911
1,0.3,0.6666666666666,0.2,0.002704213846
1,0.3,0.6666666666666,0.25,0.004276506072
1,0.3,0.6666666666666,0.3,0.006223799904
1,0.3,0.6666666666666,0.35,0.008552412342
1,0.3,0.6666666666666,0.4,0.011268089385
1,0.3,0.6666666666666,0.45,0.01437611203
1,0.3,0.6666666666666,0.5,0.01788140029
1,0.3,0.6666666666666,0.55,0.02178854415
1,0.3,0.6666666666666,0.6,0.02610191362
1,0.3,0.6666666666666,0.65,0.03082561869
1,0.3,0.6666666666666,0.7,0.03596360937
1,0.3,0.6666666666666,0.75,0.04151964565
1,0.3,0.6666666666666,0.8,0.04749733754
1,0.3,0.6666666666666,0.85,0.05390017504
1,0.3,0.6666666666666,0.9,0.06073144814
1,0.3,0.6666666666666,0.95,0.06799449684
1,0.3,0.6666666666666,1,0.07569242116
1,0.3,0.6666666666666,1.05,0.08382832108
1,0.3,0.6666666666666,1.1,0.0924049966
1,0.3,0.6666666666666,1.15,0.10142544773
1,0.3,0.6666666666666,1.2,0.11089257447
1,0.3,0.6666666666666,1.25,0.12080887681
1,0.3,0.6666666666666,1.3,0.1311771548
1,0.3,0.6666666666666,1.35,0.1420001083
1,0.3,0.6666666666666,1.4,0.1532801375
1,0.3,0.6666666666666,1.45,0.1650198422
1,0.3,0.6666666666666,1.5,0.1772217226
1,0.3,0.6666666666666,1.55,0.1898879786
1,0.3,0.6666666666666,1.6,0.2030211102
1,0.3,0.6666666666666,1.65,0.2166234173
1,0.3,0.6666666666666,1.7,0.2306972001
1,0.3,0.6666666666666,1.75,0.2452446585
1,0.3,0.6666666666666,1.8,0.2602679925
1,0.3,0.6666666666666,1.85,0.2757693022
1,0.3,0.6666666666666,1.9,0.2917507874
1,0.3,0.6666666666666,1.95,0.3082144482
1,0.3,0.6666666666666,2,0.3251625846
1,0.3,0.6666666666666,2.05,0.3425968967
1,0.3,0.6666666666666,2.1,0.3605196843
1,0.3,0.6666666666666,2.15,0.3789329476
1,0.3,0.6666666666666,2.2,0.3978383864
1,0.3,0.6666666666666,2.25,0.4172378009
1,0.3,0.6666666666666,2.3,0.4371331909
1,0.3,0.6666666666666,2.35,0.4575265566
1,0.3,0.6666666666666,2.4,0.4784198979
1,0.3,0.6666666666666,2.45,0.4998152147
1,0.3,0.6666666666666,2.5,0.5217135072
1,0.3,0.6666666666666,2.6,0.567028019
1,0.3,0.6666666666666,2.8,0.6637747499
1,0.3,0.6666666666666,3,0.7687700904
1,0.3,0.6666666666666,3.2,0.8821170406
1,0.3,0.6666666666666,3.4,1.0039176006
1,0.3,0.6666666666666,3.6,1.1342677702
1,0.3,0.6666666666666,3.8,1.2732615495
1,0.3,0.6666666666666,4,1.4209889385
1,0.3,0.6666666666666,4.2,1.577538937
1,0.3,0.6666666666666,4.4,1.742995546
1,0.3,0.6666666666666,4.6,1.917443764
1,0.3,0.6666666666666,4.8,2.100963591
1,0.3,0.6666666666666,5,2.293634029
1,0.3,1,0.2,0.003463025724
1,0.3,1,0.25,0.005462131881
1,0.3,1,0.3,0.007931076629
1,0.3,1,0.35,0.010876178967
1,0.3,1,0.4,0.0143031809
1,0.3,1,0.45,0.01821735442
1,0.3,1,0.5,0.02262362953
1,0.3,1,0.55,0.02752658623
1,0.3,1,0.6,0.03293059452
1,0.3,1,0.65,0.0388397744
1,0.3,1,0.7,0.04525805587
