!Keysight Technologies,E4990A,MY54403790,A.04.00
!Date: Tue Mar 19 12:11:57 2024

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.00000000000e+005, +1.87135944946e-006, +5.47589034863e-002
+2.00000000000e+005, +1.85301239954e-006, +7.48625041311e-002
+3.00000000000e+005, +1.84370017882e-006, +8.99725867292e-002
+4.00000000000e+005, +1.83806131767e-006, +1.02544225962e-001
+5.00000000000e+005, +1.83426876916e-006, +1.13583361099e-001
+6.00000000000e+005, +1.83134579540e-006, +1.23343683282e-001
+7.00000000000e+005, +1.82915811872e-006, +1.32612938326e-001
+8.00000000000e+005, +1.82739217464e-006, +1.41138897368e-001
+9.00000000000e+005, +1.82593183518e-006, +1.49232558949e-001
+1.00000000000e+006, +1.82470541654e-006, +1.56937361362e-001
+1.10000000000e+006, +1.82364373824e-006, +1.64192683945e-001
+1.20000000000e+006, +1.82276544795e-006, +1.70956465963e-001
+1.30000000000e+006, +1.82195770109e-006, +1.77344555365e-001
+1.40000000000e+006, +1.82125323405e-006, +1.83699440654e-001
+1.50000000000e+006, +1.82058242595e-006, +1.91800074835e-001
+1.60000000000e+006, +1.81983762877e-006, +1.98723978712e-001
+1.70000000000e+006, +1.81937997310e-006, +2.05036532280e-001
+1.80000000000e+006, +1.81895444440e-006, +2.11037209757e-001
+1.90000000000e+006, +1.81854235945e-006, +2.16836410316e-001
+2.00000000000e+006, +1.81817751575e-006, +2.21852400045e-001
+2.10000000000e+006, +1.81787564083e-006, +2.28052019882e-001
+2.20000000000e+006, +1.81753541144e-006, +2.34011073791e-001
+2.30000000000e+006, +1.81725181574e-006, +2.39329932343e-001
+2.40000000000e+006, +1.81695634328e-006, +2.44250613229e-001
+2.50000000000e+006, +1.81675431120e-006, +2.49732562630e-001
+2.60000000000e+006, +1.81653757784e-006, +2.54900818022e-001
+2.70000000000e+006, +1.81633445246e-006, +2.59861501732e-001
+2.80000000000e+006, +1.81615911617e-006, +2.64540695190e-001
+2.90000000000e+006, +1.81600645195e-006, +2.69224561954e-001
+3.00000000000e+006, +1.81585890753e-006, +2.74010509412e-001
+3.10000000000e+006, +1.81573930688e-006, +2.78648538050e-001
+3.20000000000e+006, +1.81563952800e-006, +2.83358940675e-001
+3.30000000000e+006, +1.81553674742e-006, +2.88342036290e-001
+3.40000000000e+006, +1.81543577426e-006, +2.92475003790e-001
+3.50000000000e+006, +1.81538044427e-006, +2.97606401461e-001
+3.60000000000e+006, +1.81531217575e-006, +3.01357443113e-001
+3.70000000000e+006, +1.81522274538e-006, +3.05725255563e-001
+3.80000000000e+006, +1.81518144151e-006, +3.10519343391e-001
+3.90000000000e+006, +1.81514229163e-006, +3.13311995258e-001
