!Keysight Technologies,E4990A,MY54403790,A.04.00
!Date: Tue Mar 19 13:53:18 2024

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.00000000000e+005, +1.07188011056e-006, +3.84502624373e-002
+2.00000000000e+005, +1.05847611057e-006, +5.25673137233e-002
+3.00000000000e+005, +1.05189757377e-006, +6.31026681340e-002
+4.00000000000e+005, +1.04794186257e-006, +7.19752404829e-002
+5.00000000000e+005, +1.04524930140e-006, +7.97258971568e-002
+6.00000000000e+005, +1.04322768135e-006, +8.65397194832e-002
+7.00000000000e+005, +1.04162909906e-006, +9.30871142812e-002
+8.00000000000e+005, +1.04038341898e-006, +9.90179498989e-002
+9.00000000000e+005, +1.03934176247e-006, +1.04694013580e-001
+1.00000000000e+006, +1.03847721745e-006, +1.09995957336e-001
+1.10000000000e+006, +1.03773484328e-006, +1.15063050426e-001
+1.20000000000e+006, +1.03711219737e-006, +1.19826098890e-001
+1.30000000000e+006, +1.03653723687e-006, +1.24477704778e-001
+1.40000000000e+006, +1.03603590888e-006, +1.28951631671e-001
+1.50000000000e+006, +1.03556124685e-006, +1.34151736472e-001
+1.60000000000e+006, +1.03501244024e-006, +1.39403381651e-001
+1.70000000000e+006, +1.03466814611e-006, +1.43654870542e-001
+1.80000000000e+006, +1.03435591054e-006, +1.48024064838e-001
+1.90000000000e+006, +1.03404709227e-006, +1.51985128028e-001
+2.00000000000e+006, +1.03379821071e-006, +1.55041780601e-001
+2.10000000000e+006, +1.03351355363e-006, +1.60357736083e-001
+2.20000000000e+006, +1.03326860147e-006, +1.63653484969e-001
+2.30000000000e+006, +1.03306022707e-006, +1.67523891544e-001
+2.40000000000e+006, +1.03283844857e-006, +1.70936428348e-001
+2.50000000000e+006, +1.03268082719e-006, +1.74543993898e-001
+2.60000000000e+006, +1.03249407718e-006, +1.78285596509e-001
+2.70000000000e+006, +1.03233467418e-006, +1.81832221526e-001
+2.80000000000e+006, +1.03218193626e-006, +1.85161504131e-001
+2.90000000000e+006, +1.03206315399e-006, +1.88603212785e-001
+3.00000000000e+006, +1.03194161491e-006, +1.92104993579e-001
+3.10000000000e+006, +1.03181210142e-006, +1.95328274036e-001
+3.20000000000e+006, +1.03168629379e-006, +1.98598952082e-001
+3.30000000000e+006, +1.03158999913e-006, +2.01823731762e-001
+3.40000000000e+006, +1.03149040311e-006, +2.04990027230e-001
+3.50000000000e+006, +1.03137852184e-006, +2.08675185574e-001
+3.60000000000e+006, +1.03135905092e-006, +2.10606798784e-001
+3.70000000000e+006, +1.03126173457e-006, +2.14527939504e-001
+3.80000000000e+006, +1.03118069855e-006, +2.17491251705e-001
+3.90000000000e+006, +1.03115702883e-006, +2.19767274295e-001
+4.00000000000e+006, +1.03107296477e-006, +2.23254435161e-001
+4.10000000000e+006, +1.03103162800e-006, +2.26363371589e-001
+4.20000000000e+006, +1.03095692332e-006, +2.29513457647e-001
+4.30000000000e+006, +1.03093017100e-006, +2.32240688759e-001
+4.40000000000e+006, +1.03088477640e-006, +2.34955936284e-001
+4.50000000000e+006, +1.03086332541e-006, +2.37717467500e-001
+4.60000000000e+006, +1.03083876421e-006, +2.40560059282e-001
+4.70000000000e+006, +1.03080677791e-006, +2.43496943158e-001
+4.80000000000e+006, +1.03079704655e-006, +2.46304691243e-001
+4.90000000000e+006, +1.03077243267e-006, +2.48923342806e-001
+5.00000000000e+006, +1.03076281870e-006, +2.51516566109e-001
+5.10000000000e+006, +1.03075103381e-006, +2.54327298566e-001
+5.20000000000e+006, +1.03075673271e-006, +2.57151969686e-001
+5.30000000000e+006, +1.03074993638e-006, +2.59649454303e-001
+5.40000000000e+006, +1.03073861112e-006, +2.62409306921e-001
+5.50000000000e+006, +1.03075477856e-006, +2.65059298165e-001
+5.60000000000e+006, +1.03075353802e-006, +2.67617816190e-001
+5.70000000000e+006, +1.03076774139e-006, +2.70120036220e-001
+5.80000000000e+006, +1.03078436310e-006, +2.72753496113e-001
+5.90000000000e+006, +1.03079666203e-006, +2.75484628002e-001
+6.00000000000e+006, +1.03082112787e-006, +2.77600126137e-001
+6.10000000000e+006, +1.03084220776e-006, +2.80386752262e-001
+6.20000000000e+006, +1.03086763231e-006, +2.82778807919e-001
+6.30000000000e+006, +1.03089109134e-006, +2.85391812864e-001
+6.40000000000e+006, +1.03091689585e-006, +2.87755438215e-001
+6.50000000000e+006, +1.03093645170e-006, +2.90354280526e-001
+6.60000000000e+006, +1.03098836144e-006, +2.92693830341e-001
+6.70000000000e+006, +1.03102201055e-006, +2.95316854720e-001
+6.80000000000e+006, +1.03106279853e-006, +2.97283600484e-001
+6.90000000000e+006, +1.03109877263e-006, +3.00081694180e-001
+7.00000000000e+006, +1.03115895773e-006, +3.02672437120e-001
+7.10000000000e+006, +1.03120537670e-006, +3.04932310236e-001
+7.20000000000e+006, +1.03125373454e-006, +3.07175215556e-001
+7.30000000000e+006, +1.03129193495e-006, +3.09288067184e-001
+7.40000000000e+006, +1.03134637063e-006, +3.11537386273e-001
+7.50000000000e+006, +1.03140086433e-006, +3.13882838074e-001
+7.60000000000e+006, +1.03147674881e-006, +3.16658533034e-001
+7.70000000000e+006, +1.03154300394e-006, +3.19072320897e-001
+7.80000000000e+006, +1.03160260869e-006, +3.21215667394e-001
+7.90000000000e+006, +1.03165771885e-006, +3.23518515861e-001
+8.00000000000e+006, +1.03172247173e-006, +3.25967940996e-001
+8.10000000000e+006, +1.03179222358e-006, +3.27926038147e-001
+8.20000000000e+006, +1.03185673141e-006, +3.30417487770e-001
+8.30000000000e+006, +1.03191935014e-006, +3.33010042439e-001
+8.40000000000e+006, +1.03199402662e-006, +3.35204674920e-001
+8.50000000000e+006, +1.03206283084e-006, +3.38070295699e-001
+8.60000000000e+006, +1.03214046672e-006, +3.40417889763e-001
+8.70000000000e+006, +1.03217252004e-006, +3.40910507467e-001
+8.80000000000e+006, +1.03224695927e-006, +3.43106477136e-001
+8.90000000000e+006, +1.03233065260e-006, +3.45587182746e-001
+9.00000000000e+006, +1.03240308844e-006, +3.47582177456e-001
+9.10000000000e+006, +1.03249544216e-006, +3.49762293040e-001
+9.20000000000e+006, +1.03258281318e-006, +3.52177050867e-001
+9.30000000000e+006, +1.03268156838e-006, +3.54130512226e-001
+9.40000000000e+006, +1.03275452792e-006, +3.56862315293e-001
+9.50000000000e+006, +1.03290410281e-006, +3.59453758907e-001
+9.60000000000e+006, +1.03294820392e-006, +3.61403403734e-001
+9.70000000000e+006, +1.03303925124e-006, +3.63534717277e-001
+9.80000000000e+006, +1.03314293084e-006, +3.65647360923e-001
+9.90000000000e+006, +1.03324781898e-006, +3.67941337788e-001
+1.00000000000e+007, +1.03335958525e-006, +3.70493293780e-001
END
