!Keysight Technologies,E4990A,MY54403790,A.04.00
!Date: Tue Mar 19 12:12:57 2024

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.00000000000e+005, +2.14448454904e-006, +6.03141237021e-002
+2.00000000000e+005, +2.12391352583e-006, +8.26027762201e-002
+3.00000000000e+005, +2.11357097888e-006, +9.93950037481e-002
+4.00000000000e+005, +2.10739110744e-006, +1.13301650557e-001
+5.00000000000e+005, +2.10314436736e-006, +1.25604718646e-001
+6.00000000000e+005, +2.09991792670e-006, +1.36308380769e-001
+7.00000000000e+005, +2.09750752977e-006, +1.46655640182e-001
+8.00000000000e+005, +2.09554920643e-006, +1.56238231479e-001
+9.00000000000e+005, +2.09393741813e-006, +1.65174095519e-001
+1.00000000000e+006, +2.09259454465e-006, +1.73551926718e-001
+1.10000000000e+006, +2.09142830670e-006, +1.81581664850e-001
+1.20000000000e+006, +2.09047428886e-006, +1.89180102712e-001
+1.30000000000e+006, +2.08958963538e-006, +1.96307771639e-001
+1.40000000000e+006, +2.08882609343e-006, +2.03460095872e-001
+1.50000000000e+006, +2.08809734269e-006, +2.12573829437e-001
+1.60000000000e+006, +2.08732138832e-006, +2.20161644514e-001
+1.70000000000e+006, +2.08680213715e-006, +2.27285981930e-001
+1.80000000000e+006, +2.08636379921e-006, +2.33813507042e-001
+1.90000000000e+006, +2.08595096916e-006, +2.40439572973e-001
+2.00000000000e+006, +2.08557730790e-006, +2.45925920141e-001
+2.10000000000e+006, +2.08516061705e-006, +2.52920263502e-001
+2.20000000000e+006, +2.08487343516e-006, +2.59133968480e-001
+2.30000000000e+006, +2.08459614018e-006, +2.65302654041e-001
+2.40000000000e+006, +2.08429288164e-006, +2.70211415455e-001
+2.50000000000e+006, +2.08411536293e-006, +2.77171118066e-001
+2.60000000000e+006, +2.08391954831e-006, +2.82695923778e-001
+2.70000000000e+006, +2.08372184003e-006, +2.88055621774e-001
+2.80000000000e+006, +2.08356231114e-006, +2.93506464223e-001
+2.90000000000e+006, +2.08342677770e-006, +2.98756978281e-001
+3.00000000000e+006, +2.08327543105e-006, +3.04499948873e-001
+3.10000000000e+006, +2.08316911762e-006, +3.09451952431e-001
+3.20000000000e+006, +2.08312202063e-006, +3.14895699072e-001
+3.30000000000e+006, +2.08302452423e-006, +3.20408001682e-001
+3.40000000000e+006, +2.08296635168e-006, +3.25347899421e-001
+3.50000000000e+006, +2.08295336634e-006, +3.32325625668e-001
+3.60000000000e+006, +2.08281323129e-006, +3.34237645399e-001
+3.70000000000e+006, +2.08287979948e-006, +3.40726364256e-001
+3.80000000000e+006, +2.08286124295e-006, +3.45526191938e-001
+3.90000000000e+006, +2.08289058345e-006, +3.49648854201e-001
+4.00000000000e+006, +2.08287479221e-006, +3.55141173532e-001
+4.10000000000e+006, +2.08290139603e-006, +3.59641366541e-001
+4.20000000000e+006, +2.08292102881e-006, +3.65044982427e-001
+4.30000000000e+006, +2.08296569402e-006, +3.69548222618e-001
+4.40000000000e+006, +2.08303043695e-006, +3.74024957253e-001
+4.50000000000e+006, +2.08306226657e-006, +3.77801371998e-001
+4.60000000000e+006, +2.08312134090e-006, +3.82516192580e-001
+4.70000000000e+006, +2.08320210484e-006, +3.87211473496e-001
+4.80000000000e+006, +2.08327568714e-006, +3.91982622623e-001
+4.90000000000e+006, +2.08337480740e-006, +3.96290496058e-001
+5.00000000000e+006, +2.08348890814e-006, +4.00573298891e-001
+5.10000000000e+006, +2.08358721359e-006, +4.04702395867e-001
+5.20000000000e+006, +2.08372400085e-006, +4.09433301224e-001
+5.30000000000e+006, +2.08383329917e-006, +4.14005836271e-001
+5.40000000000e+006, +2.08396987750e-006, +4.19012321455e-001
+5.50000000000e+006, +2.08411297458e-006, +4.23257159824e-001
+5.60000000000e+006, +2.08425447793e-006, +4.27388164243e-001
+5.70000000000e+006, +2.08442541808e-006, +4.31879240098e-001
+5.80000000000e+006, +2.08459613466e-006, +4.35699079634e-001
+5.90000000000e+006, +2.08477761009e-006, +4.40229075283e-001
+6.00000000000e+006, +2.08495404820e-006, +4.44601491535e-001
+6.10000000000e+006, +2.08514577923e-006, +4.48926211254e-001
+6.20000000000e+006, +2.08534409980e-006, +4.53157830349e-001
+6.30000000000e+006, +2.08553796397e-006, +4.57853613378e-001
+6.40000000000e+006, +2.08573822385e-006, +4.61802965263e-001
+6.50000000000e+006, +2.08593937812e-006, +4.66028444138e-001
+6.60000000000e+006, +2.08617638836e-006, +4.70744731214e-001
+6.70000000000e+006, +2.08641347747e-006, +4.74792608031e-001
+6.80000000000e+006, +2.08662487523e-006, +4.79000892897e-001
+6.90000000000e+006, +2.08686220632e-006, +4.83614184066e-001
+7.00000000000e+006, +2.08706741254e-006, +4.87422427072e-001
+7.10000000000e+006, +2.08737437265e-006, +4.91151112286e-001
+7.20000000000e+006, +2.08763385546e-006, +4.94918567737e-001
+7.30000000000e+006, +2.08788615002e-006, +4.99481173998e-001
+7.40000000000e+006, +2.08814789052e-006, +5.03629766002e-001
+7.50000000000e+006, +2.08842205147e-006, +5.08047589240e-001
+7.60000000000e+006, +2.08869086878e-006, +5.12069780951e-001
+7.70000000000e+006, +2.08898996221e-006, +5.15671177272e-001
+7.80000000000e+006, +2.08926838280e-006, +5.20549972266e-001
+7.90000000000e+006, +2.08956794254e-006, +5.25246591687e-001
+8.00000000000e+006, +2.08984210600e-006, +5.29066946366e-001
+8.10000000000e+006, +2.09015255364e-006, +5.33701867802e-001
+8.20000000000e+006, +2.09047369624e-006, +5.38349424331e-001
+8.30000000000e+006, +2.09077257419e-006, +5.42989326009e-001
+8.40000000000e+006, +2.09109622300e-006, +5.48176914223e-001
+8.50000000000e+006, +2.09141990882e-006, +5.51957465065e-001
+8.60000000000e+006, +2.09175870912e-006, +5.56181397088e-001
