!Keysight Technologies,E4990A,MY54403790,A.04.00
!Date: Tue Mar 19 12:21:51 2024

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.00000000000e+005, +3.63622554391e-006, +8.52825797854e-002
+2.00000000000e+005, +3.60412806877e-006, +1.17695151148e-001
+3.00000000000e+005, +3.58903935867e-006, +1.41989464701e-001
+4.00000000000e+005, +3.57990819491e-006, +1.62273335863e-001
+5.00000000000e+005, +3.57382619127e-006, +1.79994040514e-001
+6.00000000000e+005, +3.56912295106e-006, +1.96350494111e-001
+7.00000000000e+005, +3.56559873406e-006, +2.11277420278e-001
+8.00000000000e+005, +3.56287272848e-006, +2.25264292766e-001
+9.00000000000e+005, +3.56062429900e-006, +2.38409669231e-001
+1.00000000000e+006, +3.55874157278e-006, +2.51011991587e-001
+1.10000000000e+006, +3.55715604478e-006, +2.63199311078e-001
+1.20000000000e+006, +3.55583792868e-006, +2.74492426095e-001
+1.30000000000e+006, +3.55464718103e-006, +2.85263812290e-001
+1.40000000000e+006, +3.55367437749e-006, +2.96152446120e-001
+1.50000000000e+006, +3.55273891151e-006, +3.09064746979e-001
+1.60000000000e+006, +3.55193969710e-006, +3.19581386832e-001
+1.70000000000e+006, +3.55126571177e-006, +3.30045136912e-001
+1.80000000000e+006, +3.55075750461e-006, +3.39697528371e-001
+1.90000000000e+006, +3.55037307732e-006, +3.49260355947e-001
+2.00000000000e+006, +3.54993880475e-006, +3.58602230808e-001
+2.10000000000e+006, +3.54973672449e-006, +3.69132305292e-001
+2.20000000000e+006, +3.54947780828e-006, +3.78171564426e-001
+2.30000000000e+006, +3.54930656090e-006, +3.87448988790e-001
+2.40000000000e+006, +3.54924082623e-006, +3.96258964644e-001
+2.50000000000e+006, +3.54906795729e-006, +4.04955603551e-001
+2.60000000000e+006, +3.54906201036e-006, +4.12992335064e-001
+2.70000000000e+006, +3.54897184802e-006, +4.22442161788e-001
+2.80000000000e+006, +3.54901923574e-006, +4.29667916271e-001
+2.90000000000e+006, +3.54911857603e-006, +4.37400134967e-001
+3.00000000000e+006, +3.54922030417e-006, +4.45483537202e-001
+3.10000000000e+006, +3.54934501208e-006, +4.53434879672e-001
+3.20000000000e+006, +3.54953168507e-006, +4.61670358158e-001
+3.30000000000e+006, +3.54974438548e-006, +4.70289043174e-001
+3.40000000000e+006, +3.54999618195e-006, +4.78000352191e-001
