!Keysight Technologies,E4990A,MY54403790,A.04.00
!Date: Tue Mar 19 12:17:09 2024

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.00000000000e+005, +2.81084276931e-006, +7.34180681635e-002
+2.00000000000e+005, +2.78531271976e-006, +1.00793065081e-001
+3.00000000000e+005, +2.77260952567e-006, +1.21444003474e-001
+4.00000000000e+005, +2.76497207782e-006, +1.38676641593e-001
+5.00000000000e+005, +2.75973348882e-006, +1.53585804807e-001
+6.00000000000e+005, +2.75586919360e-006, +1.67196117992e-001
+7.00000000000e+005, +2.75284442723e-006, +1.79895486600e-001
+8.00000000000e+005, +2.75048778458e-006, +1.91475495301e-001
+9.00000000000e+005, +2.74852537080e-006, +2.02402047181e-001
+1.00000000000e+006, +2.74695649090e-006, +2.12848002555e-001
+1.10000000000e+006, +2.74558174879e-006, +2.22841608021e-001
+1.20000000000e+006, +2.74445180933e-006, +2.32449649594e-001
+1.30000000000e+006, +2.74339488378e-006, +2.41480174099e-001
+1.40000000000e+006, +2.74251151186e-006, +2.50467281662e-001
+1.50000000000e+006, +2.74163928922e-006, +2.61705250792e-001
+1.60000000000e+006, +2.74088136304e-006, +2.71136003024e-001
+1.70000000000e+006, +2.74024587101e-006, +2.79179753048e-001
+1.80000000000e+006, +2.73977092168e-006, +2.87299988440e-001
+1.90000000000e+006, +2.73935391870e-006, +2.95364335540e-001
+2.00000000000e+006, +2.73893261416e-006, +3.01814637433e-001
+2.10000000000e+006, +2.73858301174e-006, +3.11989516108e-001
+2.20000000000e+006, +2.73836207684e-006, +3.19030720040e-001
+2.30000000000e+006, +2.73809453909e-006, +3.26841681801e-001
+2.40000000000e+006, +2.73791649521e-006, +3.32869258267e-001
+2.50000000000e+006, +2.73769838896e-006, +3.41057502133e-001
+2.60000000000e+006, +2.73756113218e-006, +3.48523947004e-001
+2.70000000000e+006, +2.73741845559e-006, +3.54453156134e-001
+2.80000000000e+006, +2.73737046976e-006, +3.62476370487e-001
+2.90000000000e+006, +2.73732160475e-006, +3.68708702094e-001
+3.00000000000e+006, +2.73732093003e-006, +3.75828578888e-001
+3.10000000000e+006, +2.73730136764e-006, +3.82145966801e-001
+3.20000000000e+006, +2.73733962362e-006, +3.89028152635e-001
+3.30000000000e+006, +2.73735676501e-006, +3.95693571026e-001
+3.40000000000e+006, +2.73741382101e-006, +4.01492179690e-001
+3.50000000000e+006, +2.73747218081e-006, +4.07635851773e-001
+3.60000000000e+006, +2.73756542685e-006, +4.14860292767e-001
+3.70000000000e+006, +2.73775463641e-006, +4.20803931305e-001
+3.80000000000e+006, +2.73791624021e-006, +4.27063306006e-001
+3.90000000000e+006, +2.73824355138e-006, +4.34252002358e-001
+4.00000000000e+006, +2.73823857799e-006, +4.38406061602e-001
+4.10000000000e+006, +2.73847840972e-006, +4.44990613165e-001
+4.20000000000e+006, +2.73864760623e-006, +4.52177339479e-001
+4.30000000000e+006, +2.73892495277e-006, +4.57742211021e-001
+4.40000000000e+006, +2.73919912012e-006, +4.63095933976e-001
+4.50000000000e+006, +2.73947618271e-006, +4.68727834361e-001
+4.60000000000e+006, +2.73975302040e-006, +4.74833039068e-001
+4.70000000000e+006, +2.74007026743e-006, +4.81242078357e-001
+4.80000000000e+006, +2.74039159099e-006, +4.87026219173e-001
+4.90000000000e+006, +2.74071761077e-006, +4.92898219564e-001
+5.00000000000e+006, +2.74109559272e-006, +4.98117363120e-001
+5.10000000000e+006, +2.74142699047e-006, +5.04061482390e-001
+5.20000000000e+006, +2.74178336959e-006, +5.09882334480e-001
+5.30000000000e+006, +2.74217742636e-006, +5.16880981652e-001
+5.40000000000e+006, +2.74259570448e-006, +5.22481163787e-001
+5.50000000000e+006, +2.74299898020e-006, +5.28511448202e-001
+5.60000000000e+006, +2.74344292109e-006, +5.33577787053e-001
+5.70000000000e+006, +2.74389356024e-006, +5.40069082734e-001
+5.80000000000e+006, +2.74434400325e-006, +5.45883783215e-001
+5.90000000000e+006, +2.74482092470e-006, +5.50871414484e-001
+6.00000000000e+006, +2.74531224710e-006, +5.56787480572e-001
+6.10000000000e+006, +2.74579752061e-006, +5.62937737723e-001
+6.20000000000e+006, +2.74630749042e-006, +5.68210151639e-001
+6.30000000000e+006, +2.74683543231e-006, +5.75181759373e-001
+6.40000000000e+006, +2.74738281942e-006, +5.81573385557e-001
+6.50000000000e+006, +2.74790610360e-006, +5.87805029083e-001
+6.60000000000e+006, +2.74845622934e-006, +5.93139991055e-001
+6.70000000000e+006, +2.74903611941e-006, +5.97804046741e-001
+6.80000000000e+006, +2.74962507207e-006, +6.04521072181e-001
+6.90000000000e+006, +2.75023327697e-006, +6.10002466741e-001
+7.00000000000e+006, +2.75083844088e-006, +6.16448067650e-001
+7.10000000000e+006, +2.75146613888e-006, +6.19894687569e-001
+7.20000000000e+006, +2.75210378476e-006, +6.26405448593e-001
+7.30000000000e+006, +2.75274605086e-006, +6.31884727647e-001
+7.40000000000e+006, +2.75339529400e-006, +6.38257856549e-001
+7.50000000000e+006, +2.75407544139e-006, +6.44096753217e-001
+7.60000000000e+006, +2.75471089496e-006, +6.49770135237e-001
+7.70000000000e+006, +2.75546104224e-006, +6.55196138392e-001
+7.80000000000e+006, +2.75612733032e-006, +6.61182919294e-001
+7.90000000000e+006, +2.75683782377e-006, +6.69253080136e-001
+8.00000000000e+006, +2.75759397670e-006, +6.75484359871e-001
+8.10000000000e+006, +2.75828889845e-006, +6.81934547249e-001
+8.20000000000e+006, +2.75905498116e-006, +6.89716007266e-001
+8.30000000000e+006, +2.75977455080e-006, +6.95221495858e-001
+8.40000000000e+006, +2.76050194966e-006, +7.02059862939e-001
+8.50000000000e+006, +2.76131055503e-006, +7.08571549653e-001
+8.60000000000e+006, +2.76204793777e-006, +7.14690147167e-001
+8.70000000000e+006, +2.76283699388e-006, +7.20302366342e-001
+8.80000000000e+006, +2.76366554898e-006, +7.27347221228e-001
+8.90000000000e+006, +2.76450940235e-006, +7.34000194367e-001
+9.00000000000e+006, +2.76529431441e-006, +7.41128883321e-001
+9.10000000000e+006, +2.76625110010e-006, +7.47519083720e-001
+9.20000000000e+006, +2.76711374156e-006, +7.54811504093e-001
+9.30000000000e+006, +2.76802376193e-006, +7.60991675591e-001
+9.40000000000e+006, +2.76894137982e-006, +7.69801707438e-001
+9.50000000000e+006, +2.76999385847e-006, +7.79219237867e-001
+9.60000000000e+006, +2.77075025737e-006, +7.82256684033e-001
+9.70000000000e+006, +2.77165918155e-006, +7.90850492816e-001
+9.80000000000e+006, +2.77259731727e-006, +7.99466669377e-001
+9.90000000000e+006, +2.77352706201e-006, +8.05044901141e-001
+1.00000000000e+007, +2.77448396915e-006, +8.11394297954e-001
END
