!Keysight Technologies,E4990A,MY54403790,A.04.00
!Date: Tue Mar 19 12:00:35 2024

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.00000000000e+005, +6.47043516984e-007, +2.63956978784e-002
+2.00000000000e+005, +6.38426920122e-007, +3.59098608445e-002
+3.00000000000e+005, +6.34032604563e-007, +4.30100413642e-002
+4.00000000000e+005, +6.31360537672e-007, +4.89207724452e-002
+5.00000000000e+005, +6.29586939732e-007, +5.41595875784e-002
+6.00000000000e+005, +6.28209765125e-007, +5.87740417857e-002
+7.00000000000e+005, +6.27149487448e-007, +6.32536051254e-002
+8.00000000000e+005, +6.26320818846e-007, +6.72244950687e-002
+9.00000000000e+005, +6.25621824729e-007, +7.10643130779e-002
+1.00000000000e+006, +6.25039055244e-007, +7.47089199726e-002
+1.10000000000e+006, +6.24512978732e-007, +7.81343054982e-002
+1.20000000000e+006, +6.24096983975e-007, +8.13612461481e-002
+1.30000000000e+006, +6.23693805637e-007, +8.44582074784e-002
+1.40000000000e+006, +6.23335482231e-007, +8.75733891754e-002
+1.50000000000e+006, +6.23047825812e-007, +9.09660907674e-002
+1.60000000000e+006, +6.22613777904e-007, +9.47451632370e-002
+1.70000000000e+006, +6.22382586330e-007, +9.75402364552e-002
+1.80000000000e+006, +6.22162757516e-007, +1.00661537870e-001
+1.90000000000e+006, +6.21944956998e-007, +1.03190622482e-001
+2.00000000000e+006, +6.21757808868e-007, +1.05635156267e-001
+2.10000000000e+006, +6.21553945712e-007, +1.09104363986e-001
+2.20000000000e+006, +6.21382818962e-007, +1.11510881566e-001
+2.30000000000e+006, +6.21223945214e-007, +1.14094661939e-001
+2.40000000000e+006, +6.21065586356e-007, +1.16022183756e-001
+2.50000000000e+006, +6.20932969185e-007, +1.19135522908e-001
+2.60000000000e+006, +6.20795567048e-007, +1.21744763082e-001
+2.70000000000e+006, +6.20656980477e-007, +1.24144927088e-001
+2.80000000000e+006, +6.20537658703e-007, +1.26931491099e-001
+2.90000000000e+006, +6.20431010954e-007, +1.28798390305e-001
+3.00000000000e+006, +6.20313348693e-007, +1.31384134857e-001
+3.10000000000e+006, +6.20240714726e-007, +1.33493636621e-001
+3.20000000000e+006, +6.20143129297e-007, +1.35818336370e-001
+3.30000000000e+006, +6.20054375017e-007, +1.38164321073e-001
+3.40000000000e+006, +6.19965134990e-007, +1.40453664505e-001
+3.50000000000e+006, +6.19881945655e-007, +1.42477601802e-001
+3.60000000000e+006, +6.19827014270e-007, +1.44352205650e-001
+3.70000000000e+006, +6.19733292921e-007, +1.46828914718e-001
+3.80000000000e+006, +6.19658545038e-007, +1.48986736225e-001
+3.90000000000e+006, +6.19573450000e-007, +1.50837189951e-001
+4.00000000000e+006, +6.19524033059e-007, +1.52992182443e-001
+4.10000000000e+006, +6.19457225447e-007, +1.55136330537e-001
+4.20000000000e+006, +6.19385615748e-007, +1.57922378111e-001
+4.30000000000e+006, +6.19331541634e-007, +1.59271518950e-001
+4.40000000000e+006, +6.19277230120e-007, +1.61183640628e-001
+4.50000000000e+006, +6.19232400747e-007, +1.63093791831e-001
+4.60000000000e+006, +6.19174210490e-007, +1.65095484914e-001
+4.70000000000e+006, +6.19119558213e-007, +1.67440957061e-001
+4.80000000000e+006, +6.19072843834e-007, +1.69382012515e-001
+4.90000000000e+006, +6.19028019820e-007, +1.71195438671e-001
+5.00000000000e+006, +6.19001403690e-007, +1.72896271494e-001
+5.10000000000e+006, +6.18951795320e-007, +1.74864886200e-001
+5.20000000000e+006, +6.18918252732e-007, +1.76881611989e-001
+5.30000000000e+006, +6.18864583838e-007, +1.78690917155e-001
+5.40000000000e+006, +6.18834714430e-007, +1.80937227399e-001
+5.50000000000e+006, +6.18793284727e-007, +1.82555870460e-001
+5.60000000000e+006, +6.18761972328e-007, +1.84487452028e-001
+5.70000000000e+006, +6.18735920039e-007, +1.86188544389e-001
+5.80000000000e+006, +6.18696228319e-007, +1.87895728180e-001
+5.90000000000e+006, +6.18681587185e-007, +1.89853975380e-001
+6.00000000000e+006, +6.18656969695e-007, +1.91692443058e-001
+6.10000000000e+006, +6.18629763919e-007, +1.93512988469e-001
+6.20000000000e+006, +6.18598324400e-007, +1.95354368864e-001
+6.30000000000e+006, +6.18568433485e-007, +1.97270556194e-001
+6.40000000000e+006, +6.18545259727e-007, +1.99250166322e-001
+6.50000000000e+006, +6.18512386476e-007, +2.00815833487e-001
+6.60000000000e+006, +6.18504341513e-007, +2.02608122432e-001
+6.70000000000e+006, +6.18481075040e-007, +2.04438947291e-001
+6.80000000000e+006, +6.18458931907e-007, +2.06143054020e-001
+6.90000000000e+006, +6.18444970720e-007, +2.07817472116e-001
+7.00000000000e+006, +6.18432697119e-007, +2.09896487573e-001
+7.10000000000e+006, +6.18414443608e-007, +2.11220813421e-001
+7.20000000000e+006, +6.18395337729e-007, +2.12791373527e-001
+7.30000000000e+006, +6.18382249902e-007, +2.14427380924e-001
+7.40000000000e+006, +6.18372919775e-007, +2.16058181165e-001
+7.50000000000e+006, +6.18352558280e-007, +2.17788652934e-001
+7.60000000000e+006, +6.18341484499e-007, +2.19390074321e-001
+7.70000000000e+006, +6.18332253016e-007, +2.21032309783e-001
+7.80000000000e+006, +6.18315325685e-007, +2.22747542996e-001
+7.90000000000e+006, +6.18301357636e-007, +2.24683315159e-001
+8.00000000000e+006, +6.18298058271e-007, +2.26049080513e-001
+8.10000000000e+006, +6.18280521096e-007, +2.27836329376e-001
+8.20000000000e+006, +6.18271361898e-007, +2.29514850464e-001
+8.30000000000e+006, +6.18253987145e-007, +2.31196720480e-001
+8.40000000000e+006, +6.18251800873e-007, +2.33013238993e-001
+8.50000000000e+006, +6.18239464217e-007, +2.34477110647e-001
+8.60000000000e+006, +6.18236027953e-007, +2.36193647813e-001
+8.70000000000e+006, +6.18235073259e-007, +2.37987172236e-001
+8.80000000000e+006, +6.18227196831e-007, +2.39624819641e-001
+8.90000000000e+006, +6.18221492231e-007, +2.41154124577e-001
+9.00000000000e+006, +6.18214515246e-007, +2.42942968082e-001
+9.10000000000e+006, +6.18214614622e-007, +2.44563566690e-001
+9.20000000000e+006, +6.18212849751e-007, +2.45953466431e-001
