!Keysight Technologies,E4990A,MY54403790,A.04.00
!Date: Fri Jun 07 13:21:42 2024

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.00000000000e+005, +3.92088962273e-007, +1.13056500487e-001
+2.00000000000e+005, +3.82121558937e-007, +1.29414927837e-001
+3.00000000000e+005, +3.74694268552e-007, +1.44217119553e-001
+4.00000000000e+005, +3.69608654584e-007, +1.56461286942e-001
+5.00000000000e+005, +3.65922672907e-007, +1.67091745459e-001
+6.00000000000e+005, +3.63158032036e-007, +1.76097070701e-001
+7.00000000000e+005, +3.60991073865e-007, +1.84381583795e-001
+8.00000000000e+005, +3.59294610401e-007, +1.91668536176e-001
+9.00000000000e+005, +3.57884964559e-007, +1.98413559807e-001
+1.00000000000e+006, +3.56746643851e-007, +2.04522462186e-001
+1.10000000000e+006, +3.55754959999e-007, +2.10168740383e-001
+1.20000000000e+006, +3.54923900818e-007, +2.15408891462e-001
+1.30000000000e+006, +3.54179844557e-007, +2.20372327041e-001
+1.40000000000e+006, +3.53551411286e-007, +2.24956554611e-001
+1.50000000000e+006, +3.53025443833e-007, +2.29568408658e-001
+1.60000000000e+006, +3.52438583348e-007, +2.34442265037e-001
+1.70000000000e+006, +3.52007584433e-007, +2.38247067422e-001
+1.80000000000e+006, +3.51635528846e-007, +2.42022232628e-001
+1.90000000000e+006, +3.51276275321e-007, +2.45623546960e-001
+2.00000000000e+006, +3.50958200993e-007, +2.49259410216e-001
+2.10000000000e+006, +3.50677832163e-007, +2.52235182089e-001
+2.20000000000e+006, +3.50447384640e-007, +2.55668020598e-001
+2.30000000000e+006, +3.50225298076e-007, +2.58720432817e-001
+2.40000000000e+006, +3.50048426003e-007, +2.61563405180e-001
+2.50000000000e+006, +3.49850222427e-007, +2.64872762751e-001
+2.60000000000e+006, +3.49675231381e-007, +2.67584436006e-001
+2.70000000000e+006, +3.49527716979e-007, +2.70069043002e-001
+2.80000000000e+006, +3.49403416326e-007, +2.72838087729e-001
+2.90000000000e+006, +3.49298091170e-007, +2.75423379746e-001
+3.00000000000e+006, +3.49192650694e-007, +2.78384737519e-001
+3.10000000000e+006, +3.49098403873e-007, +2.80521137923e-001
+3.20000000000e+006, +3.49020907977e-007, +2.82795385676e-001
+3.30000000000e+006, +3.48948767982e-007, +2.85159379231e-001
+3.40000000000e+006, +3.48885317186e-007, +2.87601760005e-001
+3.50000000000e+006, +3.48842767329e-007, +2.89791465018e-001
+3.60000000000e+006, +3.48805726921e-007, +2.92335179815e-001
+3.70000000000e+006, +3.48771282864e-007, +2.94250097070e-001
+3.80000000000e+006, +3.48737419123e-007, +2.96259411620e-001
+3.90000000000e+006, +3.48704167074e-007, +2.98844979158e-001
+4.00000000000e+006, +3.48713348682e-007, +3.00247687267e-001
+4.10000000000e+006, +3.48717938745e-007, +3.02451422503e-001
+4.20000000000e+006, +3.48720874240e-007, +3.04607097697e-001
+4.30000000000e+006, +3.48724395904e-007, +3.06636802453e-001
+4.40000000000e+006, +3.48735683698e-007, +3.08541800056e-001
+4.50000000000e+006, +3.48767625817e-007, +3.10421637500e-001
+4.60000000000e+006, +3.48791384007e-007, +3.12378508435e-001
+4.70000000000e+006, +3.48814280569e-007, +3.14571573041e-001
+4.80000000000e+006, +3.48850520875e-007, +3.16386184474e-001
+4.90000000000e+006, +3.48894578867e-007, +3.18444466102e-001
