!Keysight Technologies,E4990A,MY54403790,A.04.00
!Date: Tue Mar 19 14:11:11 2024

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.00000000000e+005, +1.09534097411e-006, +3.80445322035e-002
+2.00000000000e+005, +1.08287903171e-006, +5.17902008613e-002
+3.00000000000e+005, +1.07647499394e-006, +6.20989434157e-002
+4.00000000000e+005, +1.07267397251e-006, +7.05718108259e-002
+5.00000000000e+005, +1.07006694651e-006, +7.81550408331e-002
+6.00000000000e+005, +1.06809813367e-006, +8.47149881061e-002
+7.00000000000e+005, +1.06655026490e-006, +9.10389155363e-002
+8.00000000000e+005, +1.06534662364e-006, +9.67614663846e-002
+9.00000000000e+005, +1.06435370529e-006, +1.02243540770e-001
+1.00000000000e+006, +1.06352014122e-006, +1.07506548458e-001
+1.10000000000e+006, +1.06279284495e-006, +1.12263606687e-001
+1.20000000000e+006, +1.06219693444e-006, +1.16829338018e-001
+1.30000000000e+006, +1.06162565850e-006, +1.21274856911e-001
+1.40000000000e+006, +1.06113216484e-006, +1.25647844028e-001
+1.50000000000e+006, +1.06066833764e-006, +1.30556553277e-001
+1.60000000000e+006, +1.06013728499e-006, +1.36043679996e-001
+1.70000000000e+006, +1.05980600671e-006, +1.39995835624e-001
+1.80000000000e+006, +1.05949646127e-006, +1.44112652026e-001
+1.90000000000e+006, +1.05918308310e-006, +1.47805451987e-001
+2.00000000000e+006, +1.05894704835e-006, +1.50698453788e-001
+2.10000000000e+006, +1.05867096775e-006, +1.55898738086e-001
+2.20000000000e+006, +1.05844102036e-006, +1.59063539780e-001
+2.30000000000e+006, +1.05822462327e-006, +1.62781258454e-001
+2.40000000000e+006, +1.05803499083e-006, +1.65967667631e-001
+2.50000000000e+006, +1.05785875854e-006, +1.69663043317e-001
+2.60000000000e+006, +1.05767940957e-006, +1.73118113958e-001
+2.70000000000e+006, +1.05751312531e-006, +1.76461069191e-001
+2.80000000000e+006, +1.05735864968e-006, +1.79721704676e-001
+2.90000000000e+006, +1.05725652325e-006, +1.82788967488e-001
+3.00000000000e+006, +1.05712837442e-006, +1.86141474728e-001
+3.10000000000e+006, +1.05699744474e-006, +1.89231154577e-001
+3.20000000000e+006, +1.05687818504e-006, +1.92476742445e-001
+3.30000000000e+006, +1.05677198177e-006, +1.95691592778e-001
+3.40000000000e+006, +1.05666914002e-006, +1.98851528749e-001
+3.50000000000e+006, +1.05655002942e-006, +2.01378075651e-001
+3.60000000000e+006, +1.05646571484e-006, +2.04094855417e-001
+3.70000000000e+006, +1.05643348509e-006, +2.07674227437e-001
+3.80000000000e+006, +1.05636490467e-006, +2.10472545810e-001
+3.90000000000e+006, +1.05633965623e-006, +2.12088432770e-001
+4.00000000000e+006, +1.05623662440e-006, +2.16110871122e-001
+4.10000000000e+006, +1.05618740299e-006, +2.19055695162e-001
+4.20000000000e+006, +1.05611769780e-006, +2.22207971696e-001
+4.30000000000e+006, +1.05608466567e-006, +2.24657787368e-001
+4.40000000000e+006, +1.05603959555e-006, +2.27320147062e-001
