!Keysight Technologies,E4990A,MY54403790,A.04.00
!Date: Tue Mar 19 12:26:54 2024

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.00000000000e+005, +5.40532497547e-006, +1.20120179454e-001
+2.00000000000e+005, +5.36001224009e-006, +1.66162882180e-001
+3.00000000000e+005, +5.33843083918e-006, +2.00912587052e-001
+4.00000000000e+005, +5.32574928742e-006, +2.30032759038e-001
+5.00000000000e+005, +5.31701526325e-006, +2.56043692633e-001
+6.00000000000e+005, +5.31035847086e-006, +2.79428924539e-001
+7.00000000000e+005, +5.30537571955e-006, +3.01213447553e-001
+8.00000000000e+005, +5.30155843767e-006, +3.21361558380e-001
+9.00000000000e+005, +5.29844952572e-006, +3.40213749881e-001
+1.00000000000e+006, +5.29596211428e-006, +3.58520789092e-001
+1.10000000000e+006, +5.29392652969e-006, +3.75887675442e-001
+1.20000000000e+006, +5.29227098394e-006, +3.92312804791e-001
+1.30000000000e+006, +5.29085230249e-006, +4.08498450317e-001
+1.40000000000e+006, +5.28969475579e-006, +4.24291349051e-001
+1.50000000000e+006, +5.28889295624e-006, +4.42548378031e-001
+1.60000000000e+006, +5.28784298305e-006, +4.58279420105e-001
+1.70000000000e+006, +5.28730261626e-006, +4.73174390482e-001
+1.80000000000e+006, +5.28692456299e-006, +4.87032443932e-001
+1.90000000000e+006, +5.28661154313e-006, +5.01306976792e-001
+2.00000000000e+006, +5.28665375966e-006, +5.14872776559e-001
+2.10000000000e+006, +5.28651385700e-006, +5.28165254245e-001
+2.20000000000e+006, +5.28652872788e-006, +5.43248902440e-001
+2.30000000000e+006, +5.28673062107e-006, +5.56071300105e-001
+2.40000000000e+006, +5.28687886293e-006, +5.69130601216e-001
+2.50000000000e+006, +5.28736769704e-006, +5.82241322738e-001
+2.60000000000e+006, +5.28780021478e-006, +5.95740352435e-001
+2.70000000000e+006, +5.28822744680e-006, +6.07695806402e-001
+2.80000000000e+006, +5.28886896423e-006, +6.20795127816e-001
+2.90000000000e+006, +5.28953557719e-006, +6.31074489899e-001
+3.00000000000e+006, +5.29026602231e-006, +6.44040415535e-001
+3.10000000000e+006, +5.29113065283e-006, +6.56191363776e-001
+3.20000000000e+006, +5.29195453454e-006, +6.68585306304e-001
+3.30000000000e+006, +5.29292808752e-006, +6.80904903175e-001
+3.40000000000e+006, +5.29390157552e-006, +6.92933704851e-001
+3.50000000000e+006, +5.29475144538e-006, +7.04618144849e-001
+3.60000000000e+006, +5.29606769039e-006, +7.18771517177e-001
+3.70000000000e+006, +5.29738582724e-006, +7.28548016290e-001
+3.80000000000e+006, +5.29867007719e-006, +7.39347179856e-001
+3.90000000000e+006, +5.29970447717e-006, +7.51818354518e-001
+4.00000000000e+006, +5.30134252158e-006, +7.62617535235e-001
