!Keysight Technologies,E4990A,MY54403790,A.04.00
!Date: Tue Mar 19 12:15:11 2024

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.00000000000e+005, +2.49429753900e-006, +6.55465899618e-002
+2.00000000000e+005, +2.47094385121e-006, +9.01133890154e-002
+3.00000000000e+005, +2.45951330309e-006, +1.08480847778e-001
+4.00000000000e+005, +2.45269156875e-006, +1.23882980084e-001
+5.00000000000e+005, +2.44803408844e-006, +1.37285130013e-001
+6.00000000000e+005, +2.44453133280e-006, +1.49167016239e-001
+7.00000000000e+005, +2.44182407447e-006, +1.60684721133e-001
+8.00000000000e+005, +2.43967705624e-006, +1.71210760519e-001
+9.00000000000e+005, +2.43790189505e-006, +1.80957523515e-001
+1.00000000000e+006, +2.43645232108e-006, +1.90184116095e-001
+1.10000000000e+006, +2.43520564504e-006, +1.99006997259e-001
+1.20000000000e+006, +2.43418444322e-006, +2.07596806056e-001
+1.30000000000e+006, +2.43318259806e-006, +2.15537863046e-001
+1.40000000000e+006, +2.43236985481e-006, +2.23516699016e-001
+1.50000000000e+006, +2.43163748612e-006, +2.33352269003e-001
+1.60000000000e+006, +2.43079796736e-006, +2.41885569472e-001
+1.70000000000e+006, +2.43023884250e-006, +2.49722228546e-001
+1.80000000000e+006, +2.42977952084e-006, +2.56826678393e-001
+1.90000000000e+006, +2.42933501786e-006, +2.63928550826e-001
+2.00000000000e+006, +2.42897720518e-006, +2.70451429247e-001
+2.10000000000e+006, +2.42860476810e-006, +2.78114520932e-001
+2.20000000000e+006, +2.42828633559e-006, +2.84786780090e-001
+2.30000000000e+006, +2.42802702802e-006, +2.91714196683e-001
+2.40000000000e+006, +2.42773538707e-006, +2.97754308333e-001
+2.50000000000e+006, +2.42756857112e-006, +3.04515695475e-001
+2.60000000000e+006, +2.42737325369e-006, +3.11003961286e-001
+2.70000000000e+006, +2.42723711146e-006, +3.16986093189e-001
+2.80000000000e+006, +2.42708281982e-006, +3.23150228830e-001
+2.90000000000e+006, +2.42696366858e-006, +3.28740220960e-001
+3.00000000000e+006, +2.42686662710e-006, +3.34676850500e-001
+3.10000000000e+006, +2.42680141653e-006, +3.40812069530e-001
+3.20000000000e+006, +2.42675802374e-006, +3.46869899177e-001
+3.30000000000e+006, +2.42671724130e-006, +3.52545046195e-001
+3.40000000000e+006, +2.42669594707e-006, +3.58780729353e-001
+3.50000000000e+006, +2.42666961442e-006, +3.63033907427e-001
+3.60000000000e+006, +2.42682134424e-006, +3.65444610082e-001
+3.70000000000e+006, +2.42678325100e-006, +3.74965806633e-001
+3.80000000000e+006, +2.42683208512e-006, +3.80242707762e-001
+3.90000000000e+006, +2.42694696885e-006, +3.83514451088e-001
+4.00000000000e+006, +2.42692734801e-006, +3.90259687997e-001
+4.10000000000e+006, +2.42699763123e-006, +3.95870496853e-001
+4.20000000000e+006, +2.42723326460e-006, +4.04187096625e-001
+4.30000000000e+006, +2.42723145031e-006, +4.06464227930e-001
+4.40000000000e+006, +2.42735022872e-006, +4.11636869790e-001
+4.50000000000e+006, +2.42749759038e-006, +4.16394964192e-001
+4.60000000000e+006, +2.42764174144e-006, +4.21488474739e-001
+4.70000000000e+006, +2.42779521920e-006, +4.27145888381e-001
+4.80000000000e+006, +2.42798300065e-006, +4.32579628769e-001
+4.90000000000e+006, +2.42816273363e-006, +4.37540992140e-001
+5.00000000000e+006, +2.42838777344e-006, +4.42030888986e-001
+5.10000000000e+006, +2.42858721057e-006, +4.47446762018e-001
+5.20000000000e+006, +2.42881282301e-006, +4.52486898658e-001
+5.30000000000e+006, +2.42901711847e-006, +4.57805899973e-001
+5.40000000000e+006, +2.42926127305e-006, +4.63239263552e-001
+5.50000000000e+006, +2.42950542577e-006, +4.67619557554e-001
+5.60000000000e+006, +2.42977714536e-006, +4.73087841250e-001
+5.70000000000e+006, +2.43003213804e-006, +4.77466320960e-001
+5.80000000000e+006, +2.43031600326e-006, +4.82599904852e-001
+5.90000000000e+006, +2.43059424136e-006, +4.86944212708e-001
+6.00000000000e+006, +2.43088649751e-006, +4.92209792472e-001
+6.10000000000e+006, +2.43119621265e-006, +4.97237693629e-001
+6.20000000000e+006, +2.43152407514e-006, +5.01790422051e-001
+6.30000000000e+006, +2.43182468453e-006, +5.07514437561e-001
+6.40000000000e+006, +2.43217307815e-006, +5.12890471316e-001
+6.50000000000e+006, +2.43249552241e-006, +5.16717522747e-001
+6.60000000000e+006, +2.43283437064e-006, +5.22118521983e-001
+6.70000000000e+006, +2.43320486586e-006, +5.27765737090e-001
+6.80000000000e+006, +2.43357170609e-006, +5.31838448554e-001
+6.90000000000e+006, +2.43393266391e-006, +5.37199916738e-001
+7.00000000000e+006, +2.43433141371e-006, +5.43194008523e-001
+7.10000000000e+006, +2.43471266963e-006, +5.46315971475e-001
+7.20000000000e+006, +2.43512251956e-006, +5.51575417303e-001
+7.30000000000e+006, +2.43553214448e-006, +5.55887022605e-001
+7.40000000000e+006, +2.43592245165e-006, +5.60761611998e-001
+7.50000000000e+006, +2.43636820433e-006, +5.64576663331e-001
+7.60000000000e+006, +2.43680107525e-006, +5.70170747012e-001
+7.70000000000e+006, +2.43723962261e-006, +5.75049521830e-001
+7.80000000000e+006, +2.43767724130e-006, +5.79166050653e-001
+7.90000000000e+006, +2.43811466750e-006, +5.85034208337e-001
+8.00000000000e+006, +2.43851649877e-006, +5.89912237548e-001
+8.10000000000e+006, +2.43898074824e-006, +5.95748020854e-001
+8.20000000000e+006, +2.43948867259e-006, +6.00898053508e-001
+8.30000000000e+006, +2.43994536097e-006, +6.06042546649e-001
+8.40000000000e+006, +2.44043621646e-006, +6.11588679918e-001
+8.50000000000e+006, +2.44096266311e-006, +6.18359689464e-001
+8.60000000000e+006, +2.44145356535e-006, +6.22247672177e-001
+8.70000000000e+006, +2.44199772231e-006, +6.28300214771e-001
+8.80000000000e+006, +2.44250137299e-006, +6.33325143470e-001
+8.90000000000e+006, +2.44304890147e-006, +6.38499872895e-001
+9.00000000000e+006, +2.44355795355e-006, +6.43853850823e-001
+9.10000000000e+006, +2.44411526530e-006, +6.48522421700e-001
+9.20000000000e+006, +2.44466947860e-006, +6.55262379571e-001
+9.30000000000e+006, +2.44523929375e-006, +6.61629946762e-001
+9.40000000000e+006, +2.44583970469e-006, +6.67234621092e-001
+9.50000000000e+006, +2.44633265364e-006, +6.73982438511e-001
+9.60000000000e+006, +2.44699909301e-006, +6.79085381455e-001
+9.70000000000e+006, +2.44758264425e-006, +6.83624260040e-001
+9.80000000000e+006, +2.44818459784e-006, +6.89281709943e-001
+9.90000000000e+006, +2.44880125042e-006, +6.95630348879e-001
+1.00000000000e+007, +2.44944545962e-006, +7.01143046131e-001
END
