!Keysight Technologies,E4990A,MY54403790,A.04.00
!Date: Tue Mar 19 14:04:36 2024

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.00000000000e+005, +3.56036956890e-006, +8.67686522073e-002
+2.00000000000e+005, +3.52828251021e-006, +1.19761273002e-001
+3.00000000000e+005, +3.51311832766e-006, +1.44543099834e-001
+4.00000000000e+005, +3.50416496197e-006, +1.65187761851e-001
+5.00000000000e+005, +3.49825908375e-006, +1.83306536397e-001
+6.00000000000e+005, +3.49393699067e-006, +2.00073357776e-001
+7.00000000000e+005, +3.49079989113e-006, +2.15373787636e-001
+8.00000000000e+005, +3.48855474416e-006, +2.29717955337e-001
+9.00000000000e+005, +3.48689230951e-006, +2.43327800955e-001
+1.00000000000e+006, +3.48571236405e-006, +2.56335404052e-001
+1.10000000000e+006, +3.48484083606e-006, +2.68870035250e-001
+1.20000000000e+006, +3.48433807668e-006, +2.80730880653e-001
+1.30000000000e+006, +3.48405078097e-006, +2.92243294264e-001
+1.40000000000e+006, +3.48405423162e-006, +3.03569462774e-001
+1.50000000000e+006, +3.48421026351e-006, +3.16819736249e-001
+1.60000000000e+006, +3.48444388193e-006, +3.29260683339e-001
+1.70000000000e+006, +3.48497321252e-006, +3.40178592342e-001
+1.80000000000e+006, +3.48577642707e-006, +3.50767752639e-001
+1.90000000000e+006, +3.48668731946e-006, +3.61181698969e-001
+2.00000000000e+006, +3.48770203330e-006, +3.71879124980e-001
+2.10000000000e+006, +3.48896257422e-006, +3.81520002841e-001
+2.20000000000e+006, +3.49025478314e-006, +3.93041855251e-001
+2.30000000000e+006, +3.49168893709e-006, +4.03844488815e-001
+2.40000000000e+006, +3.49338374621e-006, +4.14275394351e-001
+2.50000000000e+006, +3.49497934288e-006, +4.24465118429e-001
+2.60000000000e+006, +3.49680054338e-006, +4.34607853459e-001
+2.70000000000e+006, +3.49870803585e-006, +4.44445749530e-001
