!Keysight Technologies,E4990A,MY54403790,A.04.00
!Date: Tue Mar 19 11:51:26 2024

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.00000000000e+005, +2.77196582483e-007, +1.37803179273e-002
+2.00000000000e+005, +2.72898210972e-007, +1.86080341206e-002
+3.00000000000e+005, +2.70654866922e-007, +2.22281287550e-002
+4.00000000000e+005, +2.69298215532e-007, +2.51372802793e-002
+5.00000000000e+005, +2.68414521512e-007, +2.78102897602e-002
+6.00000000000e+005, +2.67717869635e-007, +3.01604648925e-002
+7.00000000000e+005, +2.67170136220e-007, +3.24656367200e-002
+8.00000000000e+005, +2.66751425099e-007, +3.44822246107e-002
+9.00000000000e+005, +2.66392642706e-007, +3.63525394157e-002
+1.00000000000e+006, +2.66091783323e-007, +3.82236346485e-002
+1.10000000000e+006, +2.65823556484e-007, +3.99660758688e-002
+1.20000000000e+006, +2.65615133574e-007, +4.15818225706e-002
+1.30000000000e+006, +2.65400422866e-007, +4.31612515344e-002
+1.40000000000e+006, +2.65226491229e-007, +4.47134397794e-002
+1.50000000000e+006, +2.65127233318e-007, +4.59622665395e-002
+1.60000000000e+006, +2.64863482899e-007, +4.82132315774e-002
+1.70000000000e+006, +2.64748132303e-007, +4.95414729739e-002
+1.80000000000e+006, +2.64639646520e-007, +5.09256637429e-002
+1.90000000000e+006, +2.64527380139e-007, +5.23235710392e-002
+2.00000000000e+006, +2.64437334439e-007, +5.35896723381e-002
+2.10000000000e+006, +2.64311532992e-007, +5.55260799579e-002
+2.20000000000e+006, +2.64235423488e-007, +5.64497696759e-002
+2.30000000000e+006, +2.64156242950e-007, +5.77342492547e-002
+2.40000000000e+006, +2.64062482643e-007, +5.79387152368e-002
+2.50000000000e+006, +2.63996436722e-007, +6.02018121481e-002
+2.60000000000e+006, +2.63922439938e-007, +6.12900827885e-002
+2.70000000000e+006, +2.63857281787e-007, +6.24826585314e-002
+2.80000000000e+006, +2.63787866037e-007, +6.37734301080e-002
+2.90000000000e+006, +2.63740630489e-007, +6.48648463801e-002
+3.00000000000e+006, +2.63685292433e-007, +6.61764878870e-002
+3.10000000000e+006, +2.63618850050e-007, +6.72734318440e-002
+3.20000000000e+006, +2.63569156685e-007, +6.83195031780e-002
+3.30000000000e+006, +2.63524531475e-007, +6.93649257690e-002
+3.40000000000e+006, +2.63472845824e-007, +7.04973366104e-002
+3.50000000000e+006, +2.63415063410e-007, +7.12180216322e-002
+3.60000000000e+006, +2.63407325098e-007, +7.20491108751e-002
+3.70000000000e+006, +2.63346543648e-007, +7.37570912366e-002
+3.80000000000e+006, +2.63309119757e-007, +7.48472413599e-002
+3.90000000000e+006, +2.63273727964e-007, +7.62777586521e-002
+4.00000000000e+006, +2.63237018893e-007, +7.68292806193e-002
+4.10000000000e+006, +2.63198989202e-007, +7.78684943608e-002
+4.20000000000e+006, +2.63176636577e-007, +7.87287810987e-002
+4.30000000000e+006, +2.63134702394e-007, +7.97504627112e-002
+4.40000000000e+006, +2.63102859347e-007, +8.08467883142e-002
+4.50000000000e+006, +2.63072590391e-007, +8.17029246904e-002
+4.60000000000e+006, +2.63037159541e-007, +8.28069435991e-002
+4.70000000000e+006, +2.63014801915e-007, +8.38339737159e-002
+4.80000000000e+006, +2.62986108062e-007, +8.46547902829e-002
+4.90000000000e+006, +2.62958327800e-007, +8.56881459144e-002
+5.00000000000e+006, +2.62935833354e-007, +8.65279412874e-002
+5.10000000000e+006, +2.62909308197e-007, +8.75685654173e-002
+5.20000000000e+006, +2.62886552223e-007, +8.85390631024e-002
+5.30000000000e+006, +2.62859247211e-007, +8.93952943520e-002
+5.40000000000e+006, +2.62833353339e-007, +9.04825397322e-002
+5.50000000000e+006, +2.62809253014e-007, +9.13480436808e-002
+5.60000000000e+006, +2.62793548649e-007, +9.23317678460e-002
+5.70000000000e+006, +2.62767165808e-007, +9.32329965735e-002
+5.80000000000e+006, +2.62748555810e-007, +9.40898832130e-002
+5.90000000000e+006, +2.62734826059e-007, +9.48883966053e-002
+6.00000000000e+006, +2.62715289815e-007, +9.56866525185e-002
+6.10000000000e+006, +2.62696002084e-007, +9.66199300108e-002
+6.20000000000e+006, +2.62674967678e-007, +9.74818668122e-002
+6.30000000000e+006, +2.62654094730e-007, +9.85363216015e-002
+6.40000000000e+006, +2.62633543850e-007, +9.95777320375e-002
+6.50000000000e+006, +2.62615067283e-007, +1.00369937209e-001
+6.60000000000e+006, +2.62600903017e-007, +1.01109037389e-001
+6.70000000000e+006, +2.62587749522e-007, +1.02118002419e-001
+6.80000000000e+006, +2.62568574961e-007, +1.03023559688e-001
+6.90000000000e+006, +2.62549127499e-007, +1.03859011278e-001
+7.00000000000e+006, +2.62540549835e-007, +1.04756912995e-001
+7.10000000000e+006, +2.62524286384e-007, +1.05065193871e-001
+7.20000000000e+006, +2.62509303961e-007, +1.05892933740e-001
+7.30000000000e+006, +2.62498817380e-007, +1.06624314635e-001
+7.40000000000e+006, +2.62486360316e-007, +1.07569123336e-001
+7.50000000000e+006, +2.62469577182e-007, +1.08258038517e-001
+7.60000000000e+006, +2.62455242175e-007, +1.09141582357e-001
+7.70000000000e+006, +2.62445027955e-007, +1.09864457271e-001
+7.80000000000e+006, +2.62428927381e-007, +1.10751681898e-001
+7.90000000000e+006, +2.62414654194e-007, +1.11986154531e-001
+8.00000000000e+006, +2.62401228355e-007, +1.13590014935e-001
+8.10000000000e+006, +2.62386666979e-007, +1.13581526937e-001
+8.20000000000e+006, +2.62377841970e-007, +1.14398248126e-001
+8.30000000000e+006, +2.62374490370e-007, +1.15333507444e-001
+8.40000000000e+006, +2.62364381364e-007, +1.16252990277e-001
+8.50000000000e+006, +2.62350334592e-007, +1.16883138201e-001
+8.60000000000e+006, +2.62345058526e-007, +1.17223607628e-001
+8.70000000000e+006, +2.62333352899e-007, +1.18175461762e-001
+8.80000000000e+006, +2.62320542911e-007, +1.19065928237e-001
+8.90000000000e+006, +2.62308555631e-007, +1.19726025712e-001
+9.00000000000e+006, +2.62299107973e-007, +1.20613818345e-001
+9.10000000000e+006, +2.62288802995e-007, +1.21236947947e-001
+9.20000000000e+006, +2.62278405667e-007, +1.22237982917e-001
+9.30000000000e+006, +2.62269576574e-007, +1.22798000125e-001
+9.40000000000e+006, +2.62254777392e-007, +1.23873114426e-001
