!Keysight Technologies,E4990A,MY54403790,A.04.00
!Date: Tue Mar 19 11:24:54 2024

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.00000000000e+005, +3.33113953127e-007, +1.56093168501e-002
+2.00000000000e+005, +3.28268263864e-007, +2.10785408364e-002
+3.00000000000e+005, +3.25746249174e-007, +2.51699958183e-002
+4.00000000000e+005, +3.24192948002e-007, +2.84788859769e-002
+5.00000000000e+005, +3.23205625280e-007, +3.15036714357e-002
+6.00000000000e+005, +3.22437108417e-007, +3.40637576139e-002
+7.00000000000e+005, +3.21817659264e-007, +3.66230053290e-002
+8.00000000000e+005, +3.21334653822e-007, +3.88621801476e-002
+9.00000000000e+005, +3.20927683902e-007, +4.09946156719e-002
+1.00000000000e+006, +3.20603343887e-007, +4.30688477117e-002
+1.10000000000e+006, +3.20295700105e-007, +4.49720988635e-002
+1.20000000000e+006, +3.20073886962e-007, +4.66906549990e-002
+1.30000000000e+006, +3.19824813844e-007, +4.84714695876e-002
+1.40000000000e+006, +3.19625850344e-007, +5.02060328131e-002
+1.50000000000e+006, +3.19520886157e-007, +5.16494778468e-002
+1.60000000000e+006, +3.19199216421e-007, +5.38441642898e-002
+1.70000000000e+006, +3.19090276261e-007, +5.55979722025e-002
+1.80000000000e+006, +3.18968896871e-007, +5.71725509274e-002
+1.90000000000e+006, +3.18839734371e-007, +5.86502273200e-002
+2.00000000000e+006, +3.18754690347e-007, +5.98735133984e-002
+2.10000000000e+006, +3.18624330558e-007, +6.19222935631e-002
+2.20000000000e+006, +3.18509572540e-007, +6.30559411082e-002
+2.30000000000e+006, +3.18428386782e-007, +6.44236826314e-002
+2.40000000000e+006, +3.18352937400e-007, +6.57445843163e-002
+2.50000000000e+006, +3.18250649212e-007, +6.70828456173e-002
+2.60000000000e+006, +3.18176410222e-007, +6.84137035167e-002
+2.70000000000e+006, +3.18097228722e-007, +6.96083448919e-002
+2.80000000000e+006, +3.18023871108e-007, +7.09718489939e-002
+2.90000000000e+006, +3.17966535556e-007, +7.23341510434e-002
+3.00000000000e+006, +3.17905352034e-007, +7.37629268681e-002
+3.10000000000e+006, +3.17838094964e-007, +7.47738814549e-002
+3.20000000000e+006, +3.17781688724e-007, +7.57760538369e-002
+3.30000000000e+006, +3.17725721257e-007, +7.70732123100e-002
+3.40000000000e+006, +3.17672659996e-007, +7.81770571571e-002
+3.50000000000e+006, +3.17611257481e-007, +7.94627040691e-002
+3.60000000000e+006, +3.17605619980e-007, +8.05904888848e-002
+3.70000000000e+006, +3.17532484383e-007, +8.17091581695e-002
+3.80000000000e+006, +3.17485594006e-007, +8.28594628321e-002
+3.90000000000e+006, +3.17436217254e-007, +8.34266777122e-002
+4.00000000000e+006, +3.17405958583e-007, +8.48676221427e-002
+4.10000000000e+006, +3.17367757760e-007, +8.59416222285e-002
+4.20000000000e+006, +3.17319035195e-007, +8.73253325760e-002
+4.30000000000e+006, +3.17292491671e-007, +8.79950243301e-002
+4.40000000000e+006, +3.17262884080e-007, +8.90667273252e-002
+4.50000000000e+006, +3.17229669665e-007, +9.00898226303e-002
+4.60000000000e+006, +3.17198419635e-007, +9.12330589154e-002
+4.70000000000e+006, +3.17165921279e-007, +9.23278507199e-002
+4.80000000000e+006, +3.17135659226e-007, +9.32522296891e-002
+4.90000000000e+006, +3.17104838217e-007, +9.42344077110e-002
+5.00000000000e+006, +3.17079178618e-007, +9.50909598950e-002
+5.10000000000e+006, +3.17049859363e-007, +9.59961232217e-002
+5.20000000000e+006, +3.17026355483e-007, +9.70454032069e-002
+5.30000000000e+006, +3.16996049189e-007, +9.81412161910e-002
+5.40000000000e+006, +3.16970877482e-007, +9.91338912698e-002
+5.50000000000e+006, +3.16940042055e-007, +1.00058426909e-001
+5.60000000000e+006, +3.16918032481e-007, +1.01056647115e-001
+5.70000000000e+006, +3.16896744979e-007, +1.01947818355e-001
+5.80000000000e+006, +3.16872678351e-007, +1.02931808502e-001
+5.90000000000e+006, +3.16859335660e-007, +1.03770370389e-001
+6.00000000000e+006, +3.16833515657e-007, +1.04514791170e-001
+6.10000000000e+006, +3.16816497629e-007, +1.05357292328e-001
+6.20000000000e+006, +3.16791763891e-007, +1.06373925979e-001
+6.30000000000e+006, +3.16764625292e-007, +1.07614929894e-001
+6.40000000000e+006, +3.16744217027e-007, +1.08351515359e-001
+6.50000000000e+006, +3.16722881593e-007, +1.09446850560e-001
+6.60000000000e+006, +3.16707641769e-007, +1.10120625604e-001
+6.70000000000e+006, +3.16690060460e-007, +1.10902637820e-001
+6.80000000000e+006, +3.16675523553e-007, +1.11905841813e-001
+6.90000000000e+006, +3.16655418806e-007, +1.12637165592e-001
+7.00000000000e+006, +3.16643221236e-007, +1.13788882463e-001
+7.10000000000e+006, +3.16629580892e-007, +1.13863463250e-001
+7.20000000000e+006, +3.16615440579e-007, +1.14722654740e-001
+7.30000000000e+006, +3.16596899873e-007, +1.15560008876e-001
+7.40000000000e+006, +3.16583709822e-007, +1.16332726658e-001
+7.50000000000e+006, +3.16568187856e-007, +1.17242410456e-001
+7.60000000000e+006, +3.16550966671e-007, +1.18009561957e-001
+7.70000000000e+006, +3.16537893270e-007, +1.18584138331e-001
+7.80000000000e+006, +3.16521936787e-007, +1.19396253173e-001
+7.90000000000e+006, +3.16508353913e-007, +1.20625581666e-001
+8.00000000000e+006, +3.16494505125e-007, +1.21732394654e-001
+8.10000000000e+006, +3.16475992759e-007, +1.22298889720e-001
+8.20000000000e+006, +3.16463275518e-007, +1.22963091290e-001
+8.30000000000e+006, +3.16449632962e-007, +1.23630155740e-001
+8.40000000000e+006, +3.16435217160e-007, +1.24752452566e-001
+8.50000000000e+006, +3.16420009043e-007, +1.25292121162e-001
+8.60000000000e+006, +3.16414494064e-007, +1.25644773228e-001
+8.70000000000e+006, +3.16398097986e-007, +1.26441967580e-001
+8.80000000000e+006, +3.16389050884e-007, +1.27368269377e-001
+8.90000000000e+006, +3.16375102405e-007, +1.27990725738e-001
+9.00000000000e+006, +3.16367783603e-007, +1.28733793805e-001
+9.10000000000e+006, +3.16353341051e-007, +1.29557433486e-001
+9.20000000000e+006, +3.16346173880e-007, +1.30364687851e-001
+9.30000000000e+006, +3.16333629207e-007, +1.30866848344e-001
+9.40000000000e+006, +3.16321505501e-007, +1.31931520219e-001
+9.50000000000e+006, +3.16317559305e-007, +1.34564242264e-001
+9.60000000000e+006, +3.16304475706e-007, +1.33410392912e-001
+9.70000000000e+006, +3.16295469613e-007, +1.34024099138e-001
+9.80000000000e+006, +3.16289176296e-007, +1.34801315813e-001
+9.90000000000e+006, +3.16275198986e-007, +1.35603289982e-001
+1.00000000000e+007, +3.16270531305e-007, +1.36486691449e-001
END
