!Keysight Technologies,E4990A,MY54403790,A.04.00
!Date: Tue Mar 19 11:59:36 2024

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.00000000000e+005, +5.93106508621e-007, +2.52650156831e-002
+2.00000000000e+005, +5.85546571133e-007, +3.41797879227e-002
+3.00000000000e+005, +5.81416774533e-007, +4.09127133467e-002
+4.00000000000e+005, +5.78938758663e-007, +4.64364383601e-002
+5.00000000000e+005, +5.77290439306e-007, +5.13365189530e-002
+6.00000000000e+005, +5.76003176824e-007, +5.55126920135e-002
+7.00000000000e+005, +5.74989070883e-007, +5.97862594413e-002
+8.00000000000e+005, +5.74218929512e-007, +6.34150398967e-002
+9.00000000000e+005, +5.73561170006e-007, +6.69165347244e-002
+1.00000000000e+006, +5.73023213096e-007, +7.02219953679e-002
+1.10000000000e+006, +5.72531938515e-007, +7.34587546437e-002
+1.20000000000e+006, +5.72146162175e-007, +7.63341551405e-002
+1.30000000000e+006, +5.71757148287e-007, +7.92187606340e-002
+1.40000000000e+006, +5.71437474907e-007, +8.19701217246e-002
+1.50000000000e+006, +5.71185145313e-007, +8.48673045668e-002
+1.60000000000e+006, +5.70775677342e-007, +8.84259990642e-002
+1.70000000000e+006, +5.70552291797e-007, +9.10951844763e-002
+1.80000000000e+006, +5.70332545643e-007, +9.37086247445e-002
+1.90000000000e+006, +5.70139474487e-007, +9.60323530196e-002
+2.00000000000e+006, +5.69987187166e-007, +9.83516671106e-002
+2.10000000000e+006, +5.69794395055e-007, +1.01324155990e-001
+2.20000000000e+006, +5.69610234198e-007, +1.03512266225e-001
+2.30000000000e+006, +5.69469781708e-007, +1.05818605835e-001
+2.40000000000e+006, +5.69308834415e-007, +1.07279318403e-001
+2.50000000000e+006, +5.69182210136e-007, +1.10166789273e-001
+2.60000000000e+006, +5.69062089395e-007, +1.12519673674e-001
+2.70000000000e+006, +5.68942483418e-007, +1.14570224525e-001
+2.80000000000e+006, +5.68825502140e-007, +1.16759744167e-001
+2.90000000000e+006, +5.68727213252e-007, +1.18704635410e-001
+3.00000000000e+006, +5.68621613657e-007, +1.20919589637e-001
+3.10000000000e+006, +5.68522412632e-007, +1.22875276921e-001
+3.20000000000e+006, +5.68430262928e-007, +1.24838519522e-001
+3.30000000000e+006, +5.68345711254e-007, +1.26906873217e-001
+3.40000000000e+006, +5.68255006980e-007, +1.29039573157e-001
+3.50000000000e+006, +5.68176618105e-007, +1.31218303177e-001
+3.60000000000e+006, +5.68121906618e-007, +1.32784928419e-001
+3.70000000000e+006, +5.68038588341e-007, +1.34634570082e-001
+3.80000000000e+006, +5.67969015082e-007, +1.36589341394e-001
+3.90000000000e+006, +5.67922664998e-007, +1.38291523348e-001
+4.00000000000e+006, +5.67841557258e-007, +1.40068698730e-001
+4.10000000000e+006, +5.67776980982e-007, +1.41691784296e-001
+4.20000000000e+006, +5.67719041473e-007, +1.44183878685e-001
+4.30000000000e+006, +5.67651278620e-007, +1.45374841975e-001
+4.40000000000e+006, +5.67602366189e-007, +1.47076218836e-001
+4.50000000000e+006, +5.67559923353e-007, +1.48674992810e-001
+4.60000000000e+006, +5.67506904856e-007, +1.50410211888e-001
+4.70000000000e+006, +5.67453658128e-007, +1.52182984273e-001
+4.80000000000e+006, +5.67400406360e-007, +1.53868056726e-001
+4.90000000000e+006, +5.67357324734e-007, +1.55576375759e-001
+5.00000000000e+006, +5.67328559052e-007, +1.56921264026e-001
+5.10000000000e+006, +5.67283734940e-007, +1.58489460099e-001
+5.20000000000e+006, +5.67255247955e-007, +1.60340817188e-001
+5.30000000000e+006, +5.67203556596e-007, +1.61996995270e-001
+5.40000000000e+006, +5.67163764219e-007, +1.63702046223e-001
+5.50000000000e+006, +5.67132590334e-007, +1.65228751337e-001
+5.60000000000e+006, +5.67099345578e-007, +1.66757787694e-001
+5.70000000000e+006, +5.67059619087e-007, +1.68410888231e-001
+5.80000000000e+006, +5.67028731896e-007, +1.69736686238e-001
+5.90000000000e+006, +5.67005071863e-007, +1.71266448688e-001
+6.00000000000e+006, +5.66976895910e-007, +1.72871354004e-001
+6.10000000000e+006, +5.66946473761e-007, +1.74125087192e-001
+6.20000000000e+006, +5.66916178588e-007, +1.75764710238e-001
+6.30000000000e+006, +5.66877064354e-007, +1.77283526384e-001
+6.40000000000e+006, +5.66851386561e-007, +1.78817435862e-001
+6.50000000000e+006, +5.66826807970e-007, +1.80081584948e-001
+6.60000000000e+006, +5.66800014503e-007, +1.81690729214e-001
+6.70000000000e+006, +5.66782093049e-007, +1.83309502996e-001
+6.80000000000e+006, +5.66755271609e-007, +1.84695434987e-001
+6.90000000000e+006, +5.66732662002e-007, +1.86153976872e-001
+7.00000000000e+006, +5.66714644358e-007, +1.87552445011e-001
+7.10000000000e+006, +5.66700950144e-007, +1.88518055441e-001
+7.20000000000e+006, +5.66679802529e-007, +1.90175927831e-001
+7.30000000000e+006, +5.66660671716e-007, +1.91428290508e-001
+7.40000000000e+006, +5.66643481329e-007, +1.92839735080e-001
+7.50000000000e+006, +5.66625240682e-007, +1.94121557012e-001
+7.60000000000e+006, +5.66600750194e-007, +1.95501324877e-001
+7.70000000000e+006, +5.66586571646e-007, +1.96785799252e-001
+7.80000000000e+006, +5.66570826215e-007, +1.98200507967e-001
+7.90000000000e+006, +5.66549899066e-007, +1.99357035325e-001
+8.00000000000e+006, +5.66528876957e-007, +2.01589035418e-001
+8.10000000000e+006, +5.66515579943e-007, +2.02262155483e-001
+8.20000000000e+006, +5.66500500746e-007, +2.03642670419e-001
+8.30000000000e+006, +5.66476895468e-007, +2.04918427591e-001
+8.40000000000e+006, +5.66464283540e-007, +2.06353315812e-001
+8.50000000000e+006, +5.66447512493e-007, +2.07840931412e-001
+8.60000000000e+006, +5.66441203329e-007, +2.08811115781e-001
+8.70000000000e+006, +5.66427267565e-007, +2.10319194702e-001
+8.80000000000e+006, +5.66414123165e-007, +2.11813678404e-001
+8.90000000000e+006, +5.66405207050e-007, +2.13212202609e-001
+9.00000000000e+006, +5.66392137115e-007, +2.14243919042e-001
+9.10000000000e+006, +5.66383370641e-007, +2.15569065420e-001
+9.20000000000e+006, +5.66375456667e-007, +2.17046716456e-001
+9.30000000000e+006, +5.66370333801e-007, +2.18089621517e-001
+9.40000000000e+006, +5.66353679014e-007, +2.19571573422e-001
+9.50000000000e+006, +5.66309416713e-007, +2.20467899307e-001
+9.60000000000e+006, +5.66340254566e-007, +2.21905328213e-001
+9.70000000000e+006, +5.66331207100e-007, +2.22822458320e-001
+9.80000000000e+006, +5.66326175972e-007, +2.24202145150e-001
+9.90000000000e+006, +5.66312781785e-007, +2.25653327622e-001
+1.00000000000e+007, +5.66311798546e-007, +2.27015740322e-001
END
