!Keysight Technologies,E4990A,MY54403790,A.04.00
!Date: Tue Mar 19 11:39:31 2024

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.00000000000e+005, +4.06754319454e-006, +9.31364942282e-002
+2.00000000000e+005, +4.03223074536e-006, +1.28736059672e-001
+3.00000000000e+005, +4.01560474933e-006, +1.55531460053e-001
+4.00000000000e+005, +4.00561841555e-006, +1.77859449115e-001
+5.00000000000e+005, +3.99899771397e-006, +1.97418156997e-001
+6.00000000000e+005, +3.99381144995e-006, +2.15332432108e-001
+7.00000000000e+005, +3.98998039624e-006, +2.31915518482e-001
+8.00000000000e+005, +3.98698017747e-006, +2.47457938579e-001
+9.00000000000e+005, +3.98456445436e-006, +2.62132824818e-001
+1.00000000000e+006, +3.98253797215e-006, +2.75865026719e-001
+1.10000000000e+006, +3.98087971156e-006, +2.89014838230e-001
+1.20000000000e+006, +3.97948673562e-006, +3.01642594494e-001
+1.30000000000e+006, +3.97828228802e-006, +3.13914459343e-001
+1.40000000000e+006, +3.97732486033e-006, +3.25627479692e-001
+1.50000000000e+006, +3.97637566932e-006, +3.40085868154e-001
+1.60000000000e+006, +3.97537688547e-006, +3.51526054351e-001
+1.70000000000e+006, +3.97498009060e-006, +3.62936502411e-001
+1.80000000000e+006, +3.97452365471e-006, +3.73878124634e-001
+1.90000000000e+006, +3.97420344490e-006, +3.84289274186e-001
+2.00000000000e+006, +3.97392589514e-006, +3.94046146867e-001
+2.10000000000e+006, +3.97386272375e-006, +4.06310721636e-001
+2.20000000000e+006, +3.97361722264e-006, +4.16427099112e-001
+2.30000000000e+006, +3.97356098747e-006, +4.26670670199e-001
+2.40000000000e+006, +3.97361175615e-006, +4.37408881062e-001
+2.50000000000e+006, +3.97356600178e-006, +4.45589806618e-001
+2.60000000000e+006, +3.97368431428e-006, +4.56126544019e-001
+2.70000000000e+006, +3.97382835692e-006, +4.64900456302e-001
+2.80000000000e+006, +3.97404454681e-006, +4.74330110723e-001
+2.90000000000e+006, +3.97429716225e-006, +4.82264753288e-001
+3.00000000000e+006, +3.97464125199e-006, +4.91806020653e-001
+3.10000000000e+006, +3.97496449193e-006, +5.01057267234e-001
+3.20000000000e+006, +3.97534693335e-006, +5.10646479953e-001
+3.30000000000e+006, +3.97579867934e-006, +5.19554237296e-001
+3.40000000000e+006, +3.97627824337e-006, +5.28214224203e-001
+3.50000000000e+006, +3.97674353920e-006, +5.38397366913e-001
+3.60000000000e+006, +3.97780282806e-006, +5.45517566188e-001
+3.70000000000e+006, +3.97797121129e-006, +5.53892004927e-001
+3.80000000000e+006, +3.97861679328e-006, +5.61872236274e-001
+3.90000000000e+006, +3.97896245324e-006, +5.69560909934e-001
+4.00000000000e+006, +3.97997659467e-006, +5.78491320576e-001
+4.10000000000e+006, +3.98073856796e-006, +5.86888530759e-001
+4.20000000000e+006, +3.98146298237e-006, +5.98764562810e-001
+4.30000000000e+006, +3.98232458907e-006, +6.05844442922e-001
+4.40000000000e+006, +3.98316168498e-006, +6.15004968058e-001
+4.50000000000e+006, +3.98405171413e-006, +6.22439361955e-001
+4.60000000000e+006, +3.98495277903e-006, +6.31309972505e-001
+4.70000000000e+006, +3.98592159448e-006, +6.40796430874e-001
+4.80000000000e+006, +3.98684080785e-006, +6.49829567004e-001
+4.90000000000e+006, +3.98787062089e-006, +6.57064469757e-001
+5.00000000000e+006, +3.98898175016e-006, +6.65334594939e-001
+5.10000000000e+006, +3.99003432120e-006, +6.74654367035e-001
+5.20000000000e+006, +3.99109927157e-006, +6.82721908612e-001
+5.30000000000e+006, +3.99224303127e-006, +6.92933527210e-001
+5.40000000000e+006, +3.99343190710e-006, +7.02203629035e-001
+5.50000000000e+006, +3.99455795638e-006, +7.10798360861e-001
+5.60000000000e+006, +3.99580541310e-006, +7.19058482066e-001
+5.70000000000e+006, +3.99703657162e-006, +7.29890334523e-001
+5.80000000000e+006, +3.99832118000e-006, +7.37961370123e-001
+5.90000000000e+006, +3.99960320927e-006, +7.45216957230e-001
+6.00000000000e+006, +4.00091549350e-006, +7.55087992527e-001
+6.10000000000e+006, +4.00231318903e-006, +7.64570850141e-001
+6.20000000000e+006, +4.00365698825e-006, +7.72537470038e-001
+6.30000000000e+006, +4.00515938939e-006, +7.84594211143e-001
+6.40000000000e+006, +4.00658191477e-006, +7.94190692617e-001
+6.50000000000e+006, +4.00808501105e-006, +8.03962186693e-001
+6.60000000000e+006, +4.00961859614e-006, +8.14243149785e-001
+6.70000000000e+006, +4.01113982503e-006, +8.23426414502e-001
+6.80000000000e+006, +4.01268767708e-006, +8.32384925452e-001
+6.90000000000e+006, +4.01427854114e-006, +8.41841165209e-001
+7.00000000000e+006, +4.01591417913e-006, +8.53407076109e-001
+7.10000000000e+006, +4.01749797802e-006, +8.58608701427e-001
+7.20000000000e+006, +4.01916050858e-006, +8.67826489452e-001
+7.30000000000e+006, +4.02071360196e-006, +8.76341893840e-001
+7.40000000000e+006, +4.02232453923e-006, +8.85838875488e-001
+7.50000000000e+006, +4.02415677320e-006, +8.94576995178e-001
+7.60000000000e+006, +4.02596735437e-006, +9.07610541377e-001
+7.70000000000e+006, +4.02794517538e-006, +9.17928063427e-001
+7.80000000000e+006, +4.02981022415e-006, +9.26587319392e-001
+7.90000000000e+006, +4.03167105429e-006, +9.38967629595e-001
+8.00000000000e+006, +4.03362688384e-006, +9.49027535620e-001
+8.10000000000e+006, +4.03550632214e-006, +9.61692958992e-001
+8.20000000000e+006, +4.03743245026e-006, +9.71389820904e-001
+8.30000000000e+006, +4.03939872740e-006, +9.83315674167e-001
+8.40000000000e+006, +4.04141624876e-006, +9.94190434134e-001
+8.50000000000e+006, +4.04344671841e-006, +1.00717169055e+000
+8.60000000000e+006, +4.04547745876e-006, +1.01842534025e+000
+8.70000000000e+006, +4.04755602212e-006, +1.03116755063e+000
+8.80000000000e+006, +4.04966404536e-006, +1.04219658558e+000
+8.90000000000e+006, +4.05178783632e-006, +1.05659078649e+000
