!Keysight Technologies,E4990A,MY54403790,A.04.00
!Date: Tue Mar 19 12:05:35 2024

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.00000000000e+005, +1.11940112464e-006, +3.80395448802e-002
+2.00000000000e+005, +1.10703409756e-006, +5.18526470013e-002
+3.00000000000e+005, +1.10067192068e-006, +6.21066639506e-002
+4.00000000000e+005, +1.09681536655e-006, +7.07038299387e-002
+5.00000000000e+005, +1.09420100122e-006, +7.82214645301e-002
+6.00000000000e+005, +1.09223541088e-006, +8.47998637067e-002
+7.00000000000e+005, +1.09068296850e-006, +9.10964579248e-002
+8.00000000000e+005, +1.08947424512e-006, +9.67953514625e-002
+9.00000000000e+005, +1.08846751502e-006, +1.02275644063e-001
+1.00000000000e+006, +1.08762288674e-006, +1.07406129410e-001
+1.10000000000e+006, +1.08689891124e-006, +1.12286671108e-001
+1.20000000000e+006, +1.08629300567e-006, +1.16865086511e-001
+1.30000000000e+006, +1.08571296143e-006, +1.21314486682e-001
+1.40000000000e+006, +1.08521535355e-006, +1.25596512127e-001
+1.50000000000e+006, +1.08475712584e-006, +1.30918883706e-001
+1.60000000000e+006, +1.08421205423e-006, +1.36244306352e-001
+1.70000000000e+006, +1.08385704220e-006, +1.40122664158e-001
+1.80000000000e+006, +1.08355296072e-006, +1.44209656985e-001
+1.90000000000e+006, +1.08323647227e-006, +1.47963214949e-001
+2.00000000000e+006, +1.08298903912e-006, +1.50904129032e-001
+2.10000000000e+006, +1.08270052777e-006, +1.55845721948e-001
+2.20000000000e+006, +1.08245685165e-006, +1.59153766526e-001
+2.30000000000e+006, +1.08224454519e-006, +1.62814514142e-001
+2.40000000000e+006, +1.08197312502e-006, +1.65662534910e-001
+2.50000000000e+006, +1.08184568129e-006, +1.69883735195e-001
+2.60000000000e+006, +1.08166372606e-006, +1.73270553640e-001
+2.70000000000e+006, +1.08148933342e-006, +1.76346147519e-001
+2.80000000000e+006, +1.08132371597e-006, +1.79614804673e-001
+2.90000000000e+006, +1.08119059695e-006, +1.82932255066e-001
