!Keysight Technologies,E4990A,MY54403790,A.04.00
!Date: Tue Mar 19 12:24:16 2024

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.00000000000e+005, +4.48716080563e-006, +1.04532223676e-001
+2.00000000000e+005, +4.44919063933e-006, +1.44014810978e-001
+3.00000000000e+005, +4.43073736023e-006, +1.73795666018e-001
+4.00000000000e+005, +4.41977518571e-006, +1.98707527385e-001
+5.00000000000e+005, +4.41236660205e-006, +2.20434590417e-001
+6.00000000000e+005, +4.40662005389e-006, +2.40320229513e-001
+7.00000000000e+005, +4.40236965030e-006, +2.58762847416e-001
+8.00000000000e+005, +4.39901562506e-006, +2.76057805033e-001
+9.00000000000e+005, +4.39634491665e-006, +2.92426074608e-001
+1.00000000000e+006, +4.39411045936e-006, +3.07717991705e-001
+1.10000000000e+006, +4.39226380328e-006, +3.22269189409e-001
+1.20000000000e+006, +4.39075800213e-006, +3.36445196154e-001
+1.30000000000e+006, +4.38944884784e-006, +3.49952241915e-001
+1.40000000000e+006, +4.38842566144e-006, +3.63009238216e-001
+1.50000000000e+006, +4.38747675227e-006, +3.78849294088e-001
+1.60000000000e+006, +4.38657415662e-006, +3.92259616618e-001
+1.70000000000e+006, +4.38590789760e-006, +4.04777100090e-001
+1.80000000000e+006, +4.38546734280e-006, +4.16991398731e-001
+1.90000000000e+006, +4.38512571419e-006, +4.28723086498e-001
+2.00000000000e+006, +4.38489899250e-006, +4.40476516287e-001
+2.10000000000e+006, +4.38462875193e-006, +4.53843862496e-001
+2.20000000000e+006, +4.38457259071e-006, +4.64084063696e-001
+2.30000000000e+006, +4.38452040802e-006, +4.75139147348e-001
+2.40000000000e+006, +4.38454405752e-006, +4.85303786689e-001
+2.50000000000e+006, +4.38461364209e-006, +4.96995988608e-001
+2.60000000000e+006, +4.38480143891e-006, +5.08288187210e-001
+2.70000000000e+006, +4.38502010088e-006, +5.18957374764e-001
+2.80000000000e+006, +4.38529210801e-006, +5.29106404326e-001
+2.90000000000e+006, +4.38562268195e-006, +5.38411169282e-001
+3.00000000000e+006, +4.38605627990e-006, +5.48555929732e-001
+3.10000000000e+006, +4.38648807434e-006, +5.58376979578e-001
+3.20000000000e+006, +4.38702660318e-006, +5.69246286758e-001
+3.30000000000e+006, +4.38756471253e-006, +5.79825249334e-001
+3.40000000000e+006, +4.38811259009e-006, +5.89295622661e-001
+3.50000000000e+006, +4.38869600207e-006, +5.97400838651e-001
+3.60000000000e+006, +4.38922188381e-006, +6.10285662628e-001
+3.70000000000e+006, +4.39020282156e-006, +6.18296329121e-001
+3.80000000000e+006, +4.39098251556e-006, +6.27854966988e-001
+3.90000000000e+006, +4.39165316931e-006, +6.24168021279e-001
+4.00000000000e+006, +4.39264095708e-006, +6.47189823617e-001
+4.10000000000e+006, +4.39355256898e-006, +6.56848401204e-001
+4.20000000000e+006, +4.39457855907e-006, +6.69136516521e-001
+4.30000000000e+006, +4.39544396569e-006, +6.76900805732e-001
+4.40000000000e+006, +4.39641140392e-006, +6.86693211914e-001
+4.50000000000e+006, +4.39749540158e-006, +6.94979293376e-001
+4.60000000000e+006, +4.39861850252e-006, +7.05047796301e-001
+4.70000000000e+006, +4.39972620489e-006, +7.15013937324e-001
+4.80000000000e+006, +4.40082987643e-006, +7.25169798011e-001
+4.90000000000e+006, +4.40206904061e-006, +7.34494789121e-001
+5.00000000000e+006, +4.40333501590e-006, +7.43051943332e-001
+5.10000000000e+006, +4.40455362453e-006, +7.53364912564e-001
+5.20000000000e+006, +4.40582956143e-006, +7.63264248256e-001
+5.30000000000e+006, +4.40715293051e-006, +7.74967052736e-001
+5.40000000000e+006, +4.40862810910e-006, +7.85548945389e-001
+5.50000000000e+006, +4.40992390621e-006, +7.95561520903e-001
+5.60000000000e+006, +4.41145444483e-006, +8.05780621460e-001
+5.70000000000e+006, +4.41291648146e-006, +8.15739779363e-001
+5.80000000000e+006, +4.41449216494e-006, +8.25640344210e-001
+5.90000000000e+006, +4.41596369488e-006, +8.34858811508e-001
+6.00000000000e+006, +4.41761615162e-006, +8.45228343861e-001
+6.10000000000e+006, +4.41918447945e-006, +8.56902023419e-001
+6.20000000000e+006, +4.42083486919e-006, +8.65721816134e-001
+6.30000000000e+006, +4.42256469028e-006, +8.78046327726e-001
+6.40000000000e+006, +4.42428791519e-006, +8.89352286099e-001
+6.50000000000e+006, +4.42603116097e-006, +8.99798210422e-001
+6.60000000000e+006, +4.42785036840e-006, +9.08159240099e-001
+6.70000000000e+006, +4.42965661501e-006, +9.19800704646e-001
+6.80000000000e+006, +4.43149931788e-006, +9.31089639513e-001
+6.90000000000e+006, +4.43336987559e-006, +9.41790979613e-001
+7.00000000000e+006, +4.43525582283e-006, +9.52825354955e-001
+7.10000000000e+006, +4.43721185726e-006, +9.62796393899e-001
+7.20000000000e+006, +4.43920230455e-006, +9.71514929165e-001
+7.30000000000e+006, +4.44123810042e-006, +9.82351161717e-001
+7.40000000000e+006, +4.44328435597e-006, +9.95814085949e-001
+7.50000000000e+006, +4.44539379736e-006, +1.00638006630e+000
+7.60000000000e+006, +4.44745338136e-006, +1.01679463458e+000
+7.70000000000e+006, +4.44965019976e-006, +1.02877691589e+000
+7.80000000000e+006, +4.45179068854e-006, +1.04036655651e+000
+7.90000000000e+006, +4.45401924730e-006, +1.05603302418e+000
+8.00000000000e+006, +4.45632166195e-006, +1.06495779606e+000
+8.10000000000e+006, +4.45852027772e-006, +1.08056857367e+000
+8.20000000000e+006, +4.46087007455e-006, +1.09257330600e+000
+8.30000000000e+006, +4.46313776918e-006, +1.10670194433e+000
+8.40000000000e+006, +4.46557247786e-006, +1.11956713443e+000
+8.50000000000e+006, +4.46799210573e-006, +1.13448318648e+000
+8.60000000000e+006, +4.47031699978e-006, +1.14863860843e+000
+8.70000000000e+006, +4.47286303665e-006, +1.16155740020e+000
+8.80000000000e+006, +4.47540244501e-006, +1.17830542408e+000
+8.90000000000e+006, +4.47793645004e-006, +1.18774814316e+000
+9.00000000000e+006, +4.48044616297e-006, +1.20413073408e+000
+9.10000000000e+006, +4.48310814456e-006, +1.21979352749e+000
+9.20000000000e+006, +4.48577148183e-006, +1.23406974622e+000
+9.30000000000e+006, +4.48847464498e-006, +1.25065289157e+000
+9.40000000000e+006, +4.49123725419e-006, +1.25927015403e+000
+9.50000000000e+006, +4.49373964485e-006, +1.27730627380e+000
+9.60000000000e+006, +4.49680753809e-006, +1.29124225951e+000
+9.70000000000e+006, +4.49960746464e-006, +1.30310789732e+000
+9.80000000000e+006, +4.50240463247e-006, +1.32218524420e+000
+9.90000000000e+006, +4.50531466904e-006, +1.33944222932e+000
+1.00000000000e+007, +4.50832753766e-006, +1.35127248762e+000
END
