!Keysight Technologies,E4990A,MY54403790,A.04.00
!Date: Tue Mar 19 12:18:21 2024

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.00000000000e+005, +3.17747169384e-006, +8.12841813994e-002
+2.00000000000e+005, +3.14899915488e-006, +1.11628124252e-001
+3.00000000000e+005, +3.13491378843e-006, +1.34687488932e-001
+4.00000000000e+005, +3.12638962174e-006, +1.53705963933e-001
+5.00000000000e+005, +3.12061144697e-006, +1.70311323564e-001
+6.00000000000e+005, +3.11628631902e-006, +1.85810858915e-001
+7.00000000000e+005, +3.11292938614e-006, +1.99782798578e-001
+8.00000000000e+005, +3.11030946955e-006, +2.12783808336e-001
+9.00000000000e+005, +3.10819240762e-006, +2.25110404696e-001
+1.00000000000e+006, +3.10645162933e-006, +2.37100876710e-001
+1.10000000000e+006, +3.10489372061e-006, +2.48242034475e-001
+1.20000000000e+006, +3.10363375665e-006, +2.58906125189e-001
+1.30000000000e+006, +3.10250310190e-006, +2.69339236903e-001
+1.40000000000e+006, +3.10148692653e-006, +2.79310417840e-001
+1.50000000000e+006, +3.10059606096e-006, +2.91376234023e-001
+1.60000000000e+006, +3.09973796767e-006, +3.02022909359e-001
+1.70000000000e+006, +3.09907746687e-006, +3.11590838154e-001
+1.80000000000e+006, +3.09854906732e-006, +3.20803897706e-001
+1.90000000000e+006, +3.09807584733e-006, +3.29903598039e-001
+2.00000000000e+006, +3.09781429218e-006, +3.38227456823e-001
+2.10000000000e+006, +3.09736392198e-006, +3.49875592629e-001
+2.20000000000e+006, +3.09705481905e-006, +3.56752237177e-001
+2.30000000000e+006, +3.09679469005e-006, +3.65524815041e-001
+2.40000000000e+006, +3.09667550255e-006, +3.72938402755e-001
+2.50000000000e+006, +3.09642893564e-006, +3.82149780272e-001
+2.60000000000e+006, +3.09628970177e-006, +3.90156289209e-001
+2.70000000000e+006, +3.09623829940e-006, +3.99483862327e-001
+2.80000000000e+006, +3.09611493970e-006, +4.06561733151e-001
+2.90000000000e+006, +3.09612596081e-006, +4.14057341588e-001
+3.00000000000e+006, +3.09609409395e-006, +4.21178747199e-001
+3.10000000000e+006, +3.09612618418e-006, +4.28709576832e-001
+3.20000000000e+006, +3.09620078552e-006, +4.37131220513e-001
+3.30000000000e+006, +3.09626238877e-006, +4.45102600035e-001
+3.40000000000e+006, +3.09634897622e-006, +4.51884105579e-001
+3.50000000000e+006, +3.09628252099e-006, +4.58838619776e-001
+3.60000000000e+006, +3.09652669489e-006, +4.68052998552e-001
+3.70000000000e+006, +3.09686664971e-006, +4.73628521303e-001
+3.80000000000e+006, +3.09706096058e-006, +4.81138601232e-001
+3.90000000000e+006, +3.09737404596e-006, +4.86780042894e-001
+4.00000000000e+006, +3.09755657879e-006, +4.96034605940e-001
+4.10000000000e+006, +3.09783781828e-006, +5.02213317634e-001
+4.20000000000e+006, +3.09836678048e-006, +5.07194058297e-001
+4.30000000000e+006, +3.09841837676e-006, +5.17386412292e-001
+4.40000000000e+006, +3.09879241128e-006, +5.24721986028e-001
+4.50000000000e+006, +3.09912978157e-006, +5.30633679550e-001
+4.60000000000e+006, +3.09950676719e-006, +5.38043021291e-001
+4.70000000000e+006, +3.09992353896e-006, +5.46074949362e-001
+4.80000000000e+006, +3.10033999091e-006, +5.53719404572e-001
+4.90000000000e+006, +3.10073700117e-006, +5.60142954092e-001
+5.00000000000e+006, +3.10117146748e-006, +5.65956959051e-001
+5.10000000000e+006, +3.10162679917e-006, +5.73345595697e-001
+5.20000000000e+006, +3.10213162161e-006, +5.80354456123e-001
+5.30000000000e+006, +3.10257647095e-006, +5.88445909417e-001
+5.40000000000e+006, +3.10311432270e-006, +5.95400394483e-001
+5.50000000000e+006, +3.10361634091e-006, +6.02777638086e-001
+5.60000000000e+006, +3.10415111177e-006, +6.09888939624e-001
+5.70000000000e+006, +3.10470574173e-006, +6.17423813358e-001
+5.80000000000e+006, +3.10530090969e-006, +6.24241901666e-001
+5.90000000000e+006, +3.10587052570e-006, +6.30458258161e-001
+6.00000000000e+006, +3.10664660909e-006, +6.32528499937e-001
+6.10000000000e+006, +3.10728443239e-006, +6.39789446611e-001
+6.20000000000e+006, +3.10791103475e-006, +6.46185214906e-001
