!Keysight Technologies,E4990A,MY54403790,A.04.00
!Date: Tue Mar 19 12:07:09 2024

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.00000000000e+005, +1.35298701046e-006, +4.27837586147e-002
+2.00000000000e+005, +1.33853922081e-006, +5.83946288173e-002
+3.00000000000e+005, +1.33129239481e-006, +7.00459373001e-002
+4.00000000000e+005, +1.32693050375e-006, +7.97234452104e-002
+5.00000000000e+005, +1.32397777316e-006, +8.83670298981e-002
+6.00000000000e+005, +1.32170656486e-006, +9.57596799969e-002
+7.00000000000e+005, +1.31998538936e-006, +1.02883477388e-001
+8.00000000000e+005, +1.31861068749e-006, +1.09466703232e-001
+9.00000000000e+005, +1.31749058048e-006, +1.15683414484e-001
+1.00000000000e+006, +1.31653221604e-006, +1.21447354403e-001
+1.10000000000e+006, +1.31570326651e-006, +1.27030069781e-001
+1.20000000000e+006, +1.31502410334e-006, +1.32243539468e-001
+1.30000000000e+006, +1.31437496582e-006, +1.37381036372e-001
+1.40000000000e+006, +1.31381393308e-006, +1.42302729226e-001
+1.50000000000e+006, +1.31328718451e-006, +1.48251700982e-001
+1.60000000000e+006, +1.31266172433e-006, +1.53764055308e-001
+1.70000000000e+006, +1.31230049903e-006, +1.58558443755e-001
+1.80000000000e+006, +1.31195345020e-006, +1.63136006121e-001
+1.90000000000e+006, +1.31161618645e-006, +1.67464556242e-001
+2.00000000000e+006, +1.31134406553e-006, +1.71309985418e-001
+2.10000000000e+006, +1.31104721599e-006, +1.76236649790e-001
+2.20000000000e+006, +1.31077429983e-006, +1.80335991026e-001
+2.30000000000e+006, +1.31055642746e-006, +1.84627749577e-001
+2.40000000000e+006, +1.31029149047e-006, +1.87980591414e-001
+2.50000000000e+006, +1.31011990242e-006, +1.92429786557e-001
+2.60000000000e+006, +1.30991728536e-006, +1.96513233035e-001
+2.70000000000e+006, +1.30972486364e-006, +2.00049902167e-001
+2.80000000000e+006, +1.30957268669e-006, +2.03830707642e-001
+2.90000000000e+006, +1.30943065872e-006, +2.07589032293e-001
+3.00000000000e+006, +1.30928655869e-006, +2.11509994149e-001
+3.10000000000e+006, +1.30915098674e-006, +2.14840291514e-001
+3.20000000000e+006, +1.30901254913e-006, +2.18342045639e-001
+3.30000000000e+006, +1.30889953254e-006, +2.21940759385e-001
+3.40000000000e+006, +1.30878819869e-006, +2.25536648211e-001
+3.50000000000e+006, +1.30872559680e-006, +2.29231718410e-001
+3.60000000000e+006, +1.30861389846e-006, +2.31250106391e-001
+3.70000000000e+006, +1.30852466922e-006, +2.35654239626e-001
+3.80000000000e+006, +1.30845272917e-006, +2.38699452712e-001
+3.90000000000e+006, +1.30842992050e-006, +2.40966497129e-001
+4.00000000000e+006, +1.30832608784e-006, +2.45155155192e-001
+4.10000000000e+006, +1.30826126841e-006, +2.48398052353e-001
+4.20000000000e+006, +1.30821645367e-006, +2.51381628412e-001
+4.30000000000e+006, +1.30816133880e-006, +2.54232798085e-001
+4.40000000000e+006, +1.30811456441e-006, +2.57533409969e-001
+4.50000000000e+006, +1.30806622252e-006, +2.60444744729e-001
+4.60000000000e+006, +1.30802608028e-006, +2.63722192561e-001
+4.70000000000e+006, +1.30800924895e-006, +2.66825311341e-001
+4.80000000000e+006, +1.30798666444e-006, +2.69608352844e-001
+4.90000000000e+006, +1.30795030983e-006, +2.72619025615e-001
+5.00000000000e+006, +1.30792894334e-006, +2.75460768885e-001
+5.10000000000e+006, +1.30792510496e-006, +2.78397255437e-001
+5.20000000000e+006, +1.30790837005e-006, +2.81503233224e-001
+5.30000000000e+006, +1.30790605913e-006, +2.83979312913e-001
+5.40000000000e+006, +1.30789655763e-006, +2.87104504573e-001
+5.50000000000e+006, +1.30789760295e-006, +2.89992154202e-001
+5.60000000000e+006, +1.30789960600e-006, +2.92891037453e-001
+5.70000000000e+006, +1.30791020677e-006, +2.95672182342e-001
+5.80000000000e+006, +1.30791651086e-006, +2.98636727893e-001
+5.90000000000e+006, +1.30793641736e-006, +3.01440620384e-001
+6.00000000000e+006, +1.30794102919e-006, +3.04227534995e-001
+6.10000000000e+006, +1.30795950174e-006, +3.06857221870e-001
+6.20000000000e+006, +1.30797782016e-006, +3.09856444303e-001
+6.30000000000e+006, +1.30800376411e-006, +3.12370756626e-001
+6.40000000000e+006, +1.30802773232e-006, +3.14820109849e-001
+6.50000000000e+006, +1.30806850690e-006, +3.17269454540e-001
+6.60000000000e+006, +1.30807664308e-006, +3.20179055594e-001
+6.70000000000e+006, +1.30811959085e-006, +3.22696328895e-001
+6.80000000000e+006, +1.30815091047e-006, +3.25454147118e-001
+6.90000000000e+006, +1.30819424903e-006, +3.27928892123e-001
+7.00000000000e+006, +1.30817469703e-006, +3.29834207584e-001
+7.10000000000e+006, +1.30823618117e-006, +3.31935954897e-001
