!Keysight Technologies,E4990A,MY54403790,A.04.00
!Date: Tue Mar 19 12:10:55 2024

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.00000000000e+005, +1.58510292411e-006, +4.84689714440e-002
+2.00000000000e+005, +1.56867858231e-006, +6.62525548305e-002
+3.00000000000e+005, +1.56042288852e-006, +7.96351953661e-002
+4.00000000000e+005, +1.55545061700e-006, +9.07905122926e-002
+5.00000000000e+005, +1.55207564530e-006, +1.00580252159e-001
+6.00000000000e+005, +1.54948220472e-006, +1.09195187730e-001
+7.00000000000e+005, +1.54753712257e-006, +1.17308507900e-001
+8.00000000000e+005, +1.54598282809e-006, +1.24875015548e-001
+9.00000000000e+005, +1.54468739111e-006, +1.31956921082e-001
+1.00000000000e+006, +1.54362128158e-006, +1.38719910110e-001
+1.10000000000e+006, +1.54268708387e-006, +1.45081388121e-001
+1.20000000000e+006, +1.54191224454e-006, +1.51213616173e-001
+1.30000000000e+006, +1.54116705118e-006, +1.57046084444e-001
+1.40000000000e+006, +1.54056177201e-006, +1.62586420269e-001
+1.50000000000e+006, +1.53996082161e-006, +1.69336660054e-001
+1.60000000000e+006, +1.53929259161e-006, +1.75484448476e-001
+1.70000000000e+006, +1.53888590381e-006, +1.81145853826e-001
+1.80000000000e+006, +1.53851166018e-006, +1.86532455757e-001
+1.90000000000e+006, +1.53815826888e-006, +1.91550118474e-001
+2.00000000000e+006, +1.53786576777e-006, +1.96103777337e-001
+2.10000000000e+006, +1.53752400834e-006, +2.01704595512e-001
+2.20000000000e+006, +1.53725312438e-006, +2.06564911223e-001
+2.30000000000e+006, +1.53703061976e-006, +2.11451152184e-001
+2.40000000000e+006, +1.53673932960e-006, +2.15648884239e-001
+2.50000000000e+006, +1.53657249694e-006, +2.20889108675e-001
+2.60000000000e+006, +1.53639335522e-006, +2.25312763573e-001
+2.70000000000e+006, +1.53621921395e-006, +2.29541089889e-001
+2.80000000000e+006, +1.53604507768e-006, +2.33993354737e-001
+2.90000000000e+006, +1.53591294783e-006, +2.37901081233e-001
+3.00000000000e+006, +1.53578126810e-006, +2.42244002294e-001
+3.10000000000e+006, +1.53566666290e-006, +2.46584954199e-001
+3.20000000000e+006, +1.53557296636e-006, +2.50703736702e-001
+3.30000000000e+006, +1.53547377648e-006, +2.54878428554e-001
+3.40000000000e+006, +1.53538362951e-006, +2.58881184779e-001
+3.50000000000e+006, +1.53530748550e-006, +2.61447678528e-001
+3.60000000000e+006, +1.53534307974e-006, +2.66714262880e-001
+3.70000000000e+006, +1.53521555219e-006, +2.70299490563e-001
+3.80000000000e+006, +1.53516859107e-006, +2.74166467746e-001
+3.90000000000e+006, +1.53513591134e-006, +2.78116150576e-001
+4.00000000000e+006, +1.53510603263e-006, +2.81501747294e-001
+4.10000000000e+006, +1.53508365310e-006, +2.85220296399e-001
+4.20000000000e+006, +1.53501813177e-006, +2.90254184789e-001
+4.30000000000e+006, +1.53506885155e-006, +2.92785293492e-001
+4.40000000000e+006, +1.53506978339e-006, +2.96499425274e-001
+4.50000000000e+006, +1.53507866164e-006, +2.99874503997e-001
+4.60000000000e+006, +1.53508484781e-006, +3.03829402297e-001
+4.70000000000e+006, +1.53511135038e-006, +3.07614586413e-001
+4.80000000000e+006, +1.53513825792e-006, +3.10845547183e-001
+4.90000000000e+006, +1.53516744555e-006, +3.14321962847e-001
+5.00000000000e+006, +1.53521116745e-006, +3.18163619660e-001
+5.10000000000e+006, +1.53524224021e-006, +3.21470573424e-001
+5.20000000000e+006, +1.53531179864e-006, +3.24939782513e-001
+5.30000000000e+006, +1.53535255490e-006, +3.28049175908e-001
+5.40000000000e+006, +1.53539298863e-006, +3.31689960042e-001
+5.50000000000e+006, +1.53547381126e-006, +3.35446918126e-001
