!Keysight Technologies,E4990A,MY54403790,A.04.00
!Date: Tue Mar 19 11:56:41 2024

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.00000000000e+005, +4.53251412578e-007, +1.99208446544e-002
+2.00000000000e+005, +4.47210787291e-007, +2.68835535960e-002
+3.00000000000e+005, +4.43961777279e-007, +3.21683383098e-002
+4.00000000000e+005, +4.42010652948e-007, +3.64744549613e-002
+5.00000000000e+005, +4.40716870743e-007, +4.03177569166e-002
+6.00000000000e+005, +4.39711937547e-007, +4.36541039747e-002
+7.00000000000e+005, +4.38925712210e-007, +4.68721638330e-002
+8.00000000000e+005, +4.38315502841e-007, +4.97882090988e-002
+9.00000000000e+005, +4.37783101172e-007, +5.25144407094e-002
+1.00000000000e+006, +4.37352543325e-007, +5.50864018795e-002
+1.10000000000e+006, +4.36977238881e-007, +5.76571555711e-002
+1.20000000000e+006, +4.36681685289e-007, +5.99001744685e-002
+1.30000000000e+006, +4.36374450732e-007, +6.21571526330e-002
+1.40000000000e+006, +4.36109484643e-007, +6.43102925093e-002
+1.50000000000e+006, +4.35917099879e-007, +6.64364590210e-002
+1.60000000000e+006, +4.35584801038e-007, +6.93980302479e-002
+1.70000000000e+006, +4.35411824055e-007, +7.13717491462e-002
+1.80000000000e+006, +4.35255433291e-007, +7.34530311223e-002
+1.90000000000e+006, +4.35096406475e-007, +7.52413440415e-002
+2.00000000000e+006, +4.34975059020e-007, +7.68989327647e-002
+2.10000000000e+006, +4.34798915313e-007, +7.94362598100e-002
+2.20000000000e+006, +4.34677710676e-007, +8.09293399013e-002
+2.30000000000e+006, +4.34563832528e-007, +8.26841066171e-002
+2.40000000000e+006, +4.34405076412e-007, +8.39179687250e-002
+2.50000000000e+006, +4.34337564810e-007, +8.62046485678e-002
+2.60000000000e+006, +4.34238952239e-007, +8.78361100239e-002
+2.70000000000e+006, +4.34146357744e-007, +8.92436652795e-002
+2.80000000000e+006, +4.34053205106e-007, +9.11296451948e-002
+2.90000000000e+006, +4.33980872470e-007, +9.26528177412e-002
+3.00000000000e+006, +4.33903944323e-007, +9.44131521300e-002
+3.10000000000e+006, +4.33817787526e-007, +9.57558272450e-002
+3.20000000000e+006, +4.33745564107e-007, +9.72812392658e-002
+3.30000000000e+006, +4.33677216007e-007, +9.89660585402e-002
+3.40000000000e+006, +4.33605341445e-007, +1.00565142915e-001
+3.50000000000e+006, +4.33531067394e-007, +1.02112802979e-001
+3.60000000000e+006, +4.33473087218e-007, +1.02820847664e-001
+3.70000000000e+006, +4.33428572068e-007, +1.04828900705e-001
+3.80000000000e+006, +4.33378347376e-007, +1.06286440005e-001
+3.90000000000e+006, +4.33300765675e-007, +1.06986478595e-001
+4.00000000000e+006, +4.33269904906e-007, +1.08910592074e-001
+4.10000000000e+006, +4.33219691141e-007, +1.10374744971e-001
+4.20000000000e+006, +4.33158190117e-007, +1.12070341087e-001
+4.30000000000e+006, +4.33130532738e-007, +1.13135782604e-001
+4.40000000000e+006, +4.33088675792e-007, +1.14397035379e-001
+4.50000000000e+006, +4.33048019042e-007, +1.15722343075e-001
+4.60000000000e+006, +4.33005427265e-007, +1.17122689742e-001
+4.70000000000e+006, +4.32961477586e-007, +1.18582103956e-001
+4.80000000000e+006, +4.32922213845e-007, +1.19730267374e-001
+4.90000000000e+006, +4.32887506208e-007, +1.21054837129e-001
+5.00000000000e+006, +4.32859730028e-007, +1.22289607396e-001
+5.10000000000e+006, +4.32820099929e-007, +1.23466069519e-001
+5.20000000000e+006, +4.32783963093e-007, +1.24705205571e-001
+5.30000000000e+006, +4.32743376045e-007, +1.26154143311e-001
+5.40000000000e+006, +4.32712939793e-007, +1.27470467379e-001
+5.50000000000e+006, +4.32678306135e-007, +1.28533204098e-001
+5.60000000000e+006, +4.32654720677e-007, +1.29667304016e-001
+5.70000000000e+006, +4.32621823120e-007, +1.30790891757e-001
+5.80000000000e+006, +4.32593643956e-007, +1.32014919254e-001
+5.90000000000e+006, +4.32576852871e-007, +1.32895905820e-001
+6.00000000000e+006, +4.32545431919e-007, +1.34198073725e-001
+6.10000000000e+006, +4.32519374427e-007, +1.35090638588e-001
+6.20000000000e+006, +4.32495216400e-007, +1.36225451535e-001
+6.30000000000e+006, +4.32464616724e-007, +1.37671970907e-001
+6.40000000000e+006, +4.32441335879e-007, +1.38784084359e-001
+6.50000000000e+006, +4.32418380374e-007, +1.39746368500e-001
+6.60000000000e+006, +4.32400793636e-007, +1.41018537624e-001
+6.70000000000e+006, +4.32376359685e-007, +1.42102970020e-001
+6.80000000000e+006, +4.32358010192e-007, +1.42951799780e-001
+6.90000000000e+006, +4.32334371486e-007, +1.44109859281e-001
+7.00000000000e+006, +4.32312850874e-007, +1.45182269276e-001
+7.10000000000e+006, +4.32298353062e-007, +1.45786047652e-001
+7.20000000000e+006, +4.32280849258e-007, +1.46835107670e-001
+7.30000000000e+006, +4.32263782405e-007, +1.47935663705e-001
+7.40000000000e+006, +4.32242559452e-007, +1.48886302862e-001
+7.50000000000e+006, +4.32226362455e-007, +1.49683079307e-001
+7.60000000000e+006, +4.32207339298e-007, +1.50851058984e-001
+7.70000000000e+006, +4.32192507933e-007, +1.51863462391e-001
+7.80000000000e+006, +4.32174515997e-007, +1.52932171748e-001
+7.90000000000e+006, +4.32153410331e-007, +1.54233164780e-001
+8.00000000000e+006, +4.32135116587e-007, +1.55667291957e-001
+8.10000000000e+006, +4.32123469983e-007, +1.56244340455e-001
+8.20000000000e+006, +4.32103889206e-007, +1.57436800650e-001
+8.30000000000e+006, +4.32092364847e-007, +1.58511759817e-001
+8.40000000000e+006, +4.32074258912e-007, +1.59534733813e-001
+8.50000000000e+006, +4.32057531825e-007, +1.60351178569e-001
+8.60000000000e+006, +4.32048599534e-007, +1.61147419618e-001
+8.70000000000e+006, +4.32034776849e-007, +1.62140976307e-001
+8.80000000000e+006, +4.32027906322e-007, +1.63212356168e-001
+8.90000000000e+006, +4.32013913760e-007, +1.64196553790e-001
+9.00000000000e+006, +4.32001643693e-007, +1.65093609731e-001
+9.10000000000e+006, +4.31990837764e-007, +1.66103764227e-001
+9.20000000000e+006, +4.31976022839e-007, +1.67122291197e-001
+9.30000000000e+006, +4.31971799331e-007, +1.67880841672e-001
+9.40000000000e+006, +4.31953574756e-007, +1.69154038693e-001
+9.50000000000e+006, +4.31920006660e-007, +1.71114054467e-001
+9.60000000000e+006, +4.31932599998e-007, +1.70951936539e-001
+9.70000000000e+006, +4.31915627573e-007, +1.71783142873e-001
+9.80000000000e+006, +4.31912016697e-007, +1.72669981348e-001
+9.90000000000e+006, +4.31897865582e-007, +1.73667683720e-001
+1.00000000000e+007, +4.31894350266e-007, +1.74734713991e-001
END
