!Keysight Technologies,E4990A,MY54403790,A.04.00
!Date: Tue Mar 19 12:25:30 2024

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.00000000000e+005, +4.90891374367e-006, +1.08511843230e-001
+2.00000000000e+005, +4.86713335327e-006, +1.50125952545e-001
+3.00000000000e+005, +4.84757386180e-006, +1.81427771361e-001
+4.00000000000e+005, +4.83606880291e-006, +2.07625821272e-001
+5.00000000000e+005, +4.82815898507e-006, +2.30887295426e-001
+6.00000000000e+005, +4.82213185651e-006, +2.51799783347e-001
+7.00000000000e+005, +4.81763236863e-006, +2.71390733492e-001
+8.00000000000e+005, +4.81417526565e-006, +2.89826659851e-001
+9.00000000000e+005, +4.81135575229e-006, +3.06757475827e-001
+1.00000000000e+006, +4.80902701907e-006, +3.22752998925e-001
+1.10000000000e+006, +4.80715634687e-006, +3.38606827171e-001
+1.20000000000e+006, +4.80561411091e-006, +3.53462398752e-001
+1.30000000000e+006, +4.80429517043e-006, +3.67966463935e-001
+1.40000000000e+006, +4.80320621735e-006, +3.82037083551e-001
+1.50000000000e+006, +4.80222376524e-006, +3.98618036425e-001
+1.60000000000e+006, +4.80131701928e-006, +4.13490625565e-001
+1.70000000000e+006, +4.80074448092e-006, +4.26179619024e-001
+1.80000000000e+006, +4.80034231645e-006, +4.39325795389e-001
+1.90000000000e+006, +4.79999436505e-006, +4.51298389021e-001
+2.00000000000e+006, +4.79983604113e-006, +4.62702967302e-001
+2.10000000000e+006, +4.79979461533e-006, +4.76737400317e-001
+2.20000000000e+006, +4.79967387602e-006, +4.89303052767e-001
+2.30000000000e+006, +4.79968204148e-006, +5.01142320037e-001
+2.40000000000e+006, +4.79990112263e-006, +5.13177132288e-001
+2.50000000000e+006, +4.80004163763e-006, +5.24149973072e-001
+2.60000000000e+006, +4.80032996216e-006, +5.36538144270e-001
+2.70000000000e+006, +4.80058356599e-006, +5.48275580007e-001
+2.80000000000e+006, +4.80104824715e-006, +5.58823968102e-001
+2.90000000000e+006, +4.80155422470e-006, +5.68362163812e-001
+3.00000000000e+006, +4.80202192551e-006, +5.79058950814e-001
+3.10000000000e+006, +4.80265220905e-006, +5.90105536012e-001
+3.20000000000e+006, +4.80332696021e-006, +6.01754982479e-001
+3.30000000000e+006, +4.80404143476e-006, +6.11988659473e-001
+3.40000000000e+006, +4.80472303767e-006, +6.23730341599e-001
+3.50000000000e+006, +4.80558100413e-006, +6.33018292675e-001
+3.60000000000e+006, +4.80661209443e-006, +6.41427502960e-001
+3.70000000000e+006, +4.80732553801e-006, +6.53954006017e-001
+3.80000000000e+006, +4.80828173489e-006, +6.63474432971e-001
+3.90000000000e+006, +4.80918203939e-006, +6.72859179743e-001
+4.00000000000e+006, +4.81034058585e-006, +6.84673667377e-001
+4.10000000000e+006, +4.81142579062e-006, +6.95350497748e-001
+4.20000000000e+006, +4.81229423896e-006, +7.06055328509e-001
+4.30000000000e+006, +4.81377764435e-006, +7.17727875200e-001
+4.40000000000e+006, +4.81504043451e-006, +7.27436574747e-001
+4.50000000000e+006, +4.81628248340e-006, +7.36435664965e-001
+4.60000000000e+006, +4.81761540248e-006, +7.47693099471e-001
+4.70000000000e+006, +4.81898749301e-006, +7.60453480929e-001
+4.80000000000e+006, +4.82042915911e-006, +7.70643776279e-001
+4.90000000000e+006, +4.82184892879e-006, +7.82317796603e-001
+5.00000000000e+006, +4.82338433995e-006, +7.89315034823e-001
+5.10000000000e+006, +4.82484970273e-006, +8.01942138624e-001
+5.20000000000e+006, +4.82646863771e-006, +8.13885346667e-001
+5.30000000000e+006, +4.82807919108e-006, +8.25125021200e-001
+5.40000000000e+006, +4.82977282410e-006, +8.37762586799e-001
+5.50000000000e+006, +4.83142122849e-006, +8.47375476018e-001
+5.60000000000e+006, +4.83317849974e-006, +8.59056853520e-001
+5.70000000000e+006, +4.83499440176e-006, +8.72041265035e-001
+5.80000000000e+006, +4.83685297987e-006, +8.81391615295e-001
+5.90000000000e+006, +4.83865202881e-006, +8.91410548983e-001
+6.00000000000e+006, +4.84054298867e-006, +9.01398808071e-001
+6.10000000000e+006, +4.84245061202e-006, +9.13462476760e-001
+6.20000000000e+006, +4.84447739449e-006, +9.25884172748e-001
+6.30000000000e+006, +4.84651530934e-006, +9.36984058064e-001
+6.40000000000e+006, +4.84857190884e-006, +9.50509647494e-001
+6.50000000000e+006, +4.85064324147e-006, +9.60968205467e-001
+6.60000000000e+006, +4.85275975631e-006, +9.72242434264e-001
+6.70000000000e+006, +4.85500189371e-006, +9.84466806727e-001
+6.80000000000e+006, +4.85715138244e-006, +9.96281557175e-001
+6.90000000000e+006, +4.85939851788e-006, +1.00910265316e+000
+7.00000000000e+006, +4.86163261836e-006, +1.02023442786e+000
+7.10000000000e+006, +4.86407555256e-006, +1.03096795895e+000
+7.20000000000e+006, +4.86647823709e-006, +1.04488607551e+000
+7.30000000000e+006, +4.86886400509e-006, +1.05881860777e+000
+7.40000000000e+006, +4.87128649802e-006, +1.07054103975e+000
+7.50000000000e+006, +4.87384803562e-006, +1.08337667662e+000
+7.60000000000e+006, +4.87624116646e-006, +1.09697112324e+000
+7.70000000000e+006, +4.87893319606e-006, +1.11073146748e+000
+7.80000000000e+006, +4.88146333152e-006, +1.12923356586e+000
+7.90000000000e+006, +4.88415342061e-006, +1.14048844007e+000
