!Keysight Technologies,E4990A,MY54403790,A.04.00
!Date: Tue Mar 19 14:12:17 2024

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.00000000000e+005, +5.69521033640e-007, +2.62955462514e-002
+2.00000000000e+005, +5.60068052524e-007, +3.60426524176e-002
+3.00000000000e+005, +5.55481321048e-007, +4.32240551070e-002
+4.00000000000e+005, +5.52747562398e-007, +4.93055816941e-002
+5.00000000000e+005, +5.50897946971e-007, +5.45904378867e-002
+6.00000000000e+005, +5.49496380842e-007, +5.92284309745e-002
+7.00000000000e+005, +5.48402450907e-007, +6.37807553556e-002
+8.00000000000e+005, +5.47543120919e-007, +6.77863369331e-002
+9.00000000000e+005, +5.46826153180e-007, +7.16279141027e-002
+1.00000000000e+006, +5.46223398694e-007, +7.51554417981e-002
+1.10000000000e+006, +5.45697377311e-007, +7.86988687436e-002
+1.20000000000e+006, +5.45274694812e-007, +8.19157872896e-002
+1.30000000000e+006, +5.44858799321e-007, +8.49853088985e-002
+1.40000000000e+006, +5.44497310298e-007, +8.79952086472e-002
+1.50000000000e+006, +5.44208500300e-007, +9.12168225444e-002
+1.60000000000e+006, +5.43772481020e-007, +9.47602373940e-002
+1.70000000000e+006, +5.43557347039e-007, +9.75658374264e-002
+1.80000000000e+006, +5.43330535132e-007, +1.00386140210e-001
+1.90000000000e+006, +5.43119117245e-007, +1.02991917501e-001
+2.00000000000e+006, +5.42930650662e-007, +1.05148675071e-001
+2.10000000000e+006, +5.42748517339e-007, +1.08404054142e-001
+2.20000000000e+006, +5.42562520557e-007, +1.10911677510e-001
+2.30000000000e+006, +5.42405022344e-007, +1.13412834828e-001
+2.40000000000e+006, +5.42175161773e-007, +1.15452416694e-001
+2.50000000000e+006, +5.42105309181e-007, +1.18309892478e-001
+2.60000000000e+006, +5.41975990807e-007, +1.20595720476e-001
+2.70000000000e+006, +5.41857818381e-007, +1.22613412272e-001
+2.80000000000e+006, +5.41739135125e-007, +1.25231083350e-001
+2.90000000000e+006, +5.41637179721e-007, +1.27291350817e-001
+3.00000000000e+006, +5.41523654263e-007, +1.29511138033e-001
+3.10000000000e+006, +5.41425388809e-007, +1.31821378892e-001
+3.20000000000e+006, +5.41339482017e-007, +1.33934338090e-001
+3.30000000000e+006, +5.41249229575e-007, +1.36167598850e-001
+3.40000000000e+006, +5.41161691850e-007, +1.38379817403e-001
+3.50000000000e+006, +5.41078052866e-007, +1.39777912213e-001
+3.60000000000e+006, +5.41058083936e-007, +1.41735541797e-001
+3.70000000000e+006, +5.40948376564e-007, +1.44266315649e-001
+3.80000000000e+006, +5.40880869804e-007, +1.46268118092e-001
+3.90000000000e+006, +5.40855852518e-007, +1.48359360603e-001
+4.00000000000e+006, +5.40755364529e-007, +1.50066858290e-001
+4.10000000000e+006, +5.40695482002e-007, +1.52075633819e-001
+4.20000000000e+006, +5.40634367587e-007, +1.53913626010e-001
+4.30000000000e+006, +5.40586331822e-007, +1.55818899853e-001
+4.40000000000e+006, +5.40534940304e-007, +1.57538557051e-001
+4.50000000000e+006, +5.40495831322e-007, +1.59380941251e-001
+4.60000000000e+006, +5.40450311385e-007, +1.61026739359e-001
+4.70000000000e+006, +5.40398867872e-007, +1.63055007964e-001
+4.80000000000e+006, +5.40356117228e-007, +1.64928116968e-001
+4.90000000000e+006, +5.40316318539e-007, +1.66482907311e-001
+5.00000000000e+006, +5.40285235041e-007, +1.68003707872e-001
+5.10000000000e+006, +5.40250974793e-007, +1.69817899075e-001
+5.20000000000e+006, +5.40220057765e-007, +1.71594710681e-001
+5.30000000000e+006, +5.40181435003e-007, +1.73490847881e-001
+5.40000000000e+006, +5.40146437947e-007, +1.75211442899e-001
+5.50000000000e+006, +5.40119167025e-007, +1.76739072098e-001
+5.60000000000e+006, +5.40097480040e-007, +1.78394778732e-001
+5.70000000000e+006, +5.40072355416e-007, +1.80100642839e-001
+5.80000000000e+006, +5.40049150218e-007, +1.81843344417e-001
+5.90000000000e+006, +5.40035660248e-007, +1.83233318775e-001
+6.00000000000e+006, +5.40017831930e-007, +1.84902900295e-001
+6.10000000000e+006, +5.39991760033e-007, +1.86342496876e-001
+6.20000000000e+006, +5.39975349504e-007, +1.87962303205e-001
+6.30000000000e+006, +5.39946952480e-007, +1.89698187311e-001
+6.40000000000e+006, +5.39933438380e-007, +1.91342317188e-001
+6.50000000000e+006, +5.39914763167e-007, +1.92992705997e-001
+6.60000000000e+006, +5.39902753281e-007, +1.94227204201e-001
+6.70000000000e+006, +5.39890102238e-007, +1.96038681513e-001
+6.80000000000e+006, +5.39885704228e-007, +1.97619495838e-001
+6.90000000000e+006, +5.39867705589e-007, +1.98873419311e-001
+7.00000000000e+006, +5.39854961098e-007, +2.00770847229e-001
+7.10000000000e+006, +5.39856997238e-007, +2.01869895961e-001
+7.20000000000e+006, +5.39853985342e-007, +2.03486475791e-001
+7.30000000000e+006, +5.39845007265e-007, +2.04818161594e-001
+7.40000000000e+006, +5.39842797289e-007, +2.06234620899e-001
+7.50000000000e+006, +5.39833708465e-007, +2.07572295953e-001
+7.60000000000e+006, +5.39833026917e-007, +2.09137542553e-001
+7.70000000000e+006, +5.39831802261e-007, +2.10418842942e-001
+7.80000000000e+006, +5.39823700142e-007, +2.11949624988e-001
+7.90000000000e+006, +5.39817522964e-007, +2.13623609977e-001
+8.00000000000e+006, +5.39823800273e-007, +2.14551853304e-001
+8.10000000000e+006, +5.39810634090e-007, +2.16232514981e-001
+8.20000000000e+006, +5.39813230326e-007, +2.17947628669e-001
+8.30000000000e+006, +5.39808972435e-007, +2.19435772385e-001
+8.40000000000e+006, +5.39810043970e-007, +2.20905582127e-001
+8.50000000000e+006, +5.39815865370e-007, +2.22054109329e-001
+8.60000000000e+006, +5.39819319791e-007, +2.23633544970e-001
+8.70000000000e+006, +5.39822531700e-007, +2.25120311436e-001
+8.80000000000e+006, +5.39825396798e-007, +2.26722989463e-001
+8.90000000000e+006, +5.39827646656e-007, +2.28008257585e-001
+9.00000000000e+006, +5.39834451994e-007, +2.29473956414e-001
+9.10000000000e+006, +5.39844236298e-007, +2.30676390007e-001
+9.20000000000e+006, +5.39854257621e-007, +2.32121818160e-001
+9.30000000000e+006, +5.39860448703e-007, +2.33576457821e-001
+9.40000000000e+006, +5.39867959988e-007, +2.35166002996e-001
+9.50000000000e+006, +5.39894093226e-007, +2.36522052116e-001
+9.60000000000e+006, +5.39884477502e-007, +2.37656925628e-001
+9.70000000000e+006, +5.39895793817e-007, +2.38983792514e-001
+9.80000000000e+006, +5.39911612033e-007, +2.40186170673e-001
