!Keysight Technologies,E4990A,MY54403790,A.04.00
!Date: Fri Jun 07 11:32:51 2024

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.00000000000e+005, +9.49152757229e-008, +1.06467115252e-002
+2.00000000000e+005, +9.32232663825e-008, +1.24507577091e-002
+3.00000000000e+005, +9.24011668480e-008, +1.37786230789e-002
+4.00000000000e+005, +9.19714309801e-008, +1.49025160593e-002
+5.00000000000e+005, +9.16200569060e-008, +1.58273002626e-002
+6.00000000000e+005, +9.13741897598e-008, +1.66593538487e-002
+7.00000000000e+005, +9.11787917974e-008, +1.74286263571e-002
+8.00000000000e+005, +9.10195926599e-008, +1.82355649433e-002
+9.00000000000e+005, +9.08955126544e-008, +1.88853035405e-002
+1.00000000000e+006, +9.07888247595e-008, +1.95539393837e-002
+1.10000000000e+006, +9.06937183579e-008, +2.01879151000e-002
+1.20000000000e+006, +9.06171157565e-008, +2.06290480855e-002
+1.30000000000e+006, +9.05234180105e-008, +2.12298131642e-002
+1.40000000000e+006, +9.04662671665e-008, +2.18029800472e-002
+1.50000000000e+006, +9.03388240457e-008, +2.27104944416e-002
+1.60000000000e+006, +9.03316019414e-008, +2.33551076077e-002
+1.70000000000e+006, +9.02836229994e-008, +2.33635174599e-002
+1.80000000000e+006, +9.02512955434e-008, +2.38142708028e-002
+1.90000000000e+006, +9.02038794988e-008, +2.44035968228e-002
+2.00000000000e+006, +9.01603347438e-008, +2.49506707281e-002
+2.10000000000e+006, +9.01194365300e-008, +2.54272075108e-002
+2.20000000000e+006, +9.00943842155e-008, +2.56136459599e-002
+2.30000000000e+006, +9.00712629464e-008, +2.60300815816e-002
+2.40000000000e+006, +9.01190393363e-008, +2.49401846978e-002
+2.50000000000e+006, +9.00211578267e-008, +2.68113666039e-002
+2.60000000000e+006, +8.99960246703e-008, +2.71365199765e-002
+2.70000000000e+006, +8.99599758318e-008, +2.76510294226e-002
+2.80000000000e+006, +8.99439504094e-008, +2.77969201728e-002
+2.90000000000e+006, +8.99302895568e-008, +2.80790684040e-002
+3.00000000000e+006, +8.99096345743e-008, +2.86456441369e-002
+3.10000000000e+006, +8.98895283424e-008, +2.87755678178e-002
+3.20000000000e+006, +8.98701425184e-008, +2.92272054218e-002
+3.30000000000e+006, +8.98492085804e-008, +2.95305377513e-002
+3.40000000000e+006, +8.98360980268e-008, +2.97923602440e-002
+3.50000000000e+006, +8.98132464316e-008, +3.00155370770e-002
+3.60000000000e+006, +8.97758856812e-008, +3.06842982309e-002
+3.70000000000e+006, +8.97983664661e-008, +3.06378310312e-002
+3.80000000000e+006, +8.97808470825e-008, +3.09541091179e-002
+3.90000000000e+006, +8.97365192463e-008, +3.17956901250e-002
+4.00000000000e+006, +8.97506708522e-008, +3.14608806655e-002
+4.10000000000e+006, +8.97482870655e-008, +3.16818308236e-002
+4.20000000000e+006, +8.97420245755e-008, +3.26040887996e-002
+4.30000000000e+006, +8.97255961519e-008, +3.22955121603e-002
+4.40000000000e+006, +8.97117605884e-008, +3.25601982554e-002
+4.50000000000e+006, +8.97058171025e-008, +3.27840038675e-002
+4.60000000000e+006, +8.96982517764e-008, +3.30029011165e-002
+4.70000000000e+006, +8.96832869615e-008, +3.32973709833e-002
