!Keysight Technologies,E4990A,MY54403790,A.04.00
!Date: Fri Jun 07 13:26:58 2024

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.00000000000e+005, +1.26187158518e-007, +4.48892158653e-002
+2.00000000000e+005, +1.23524325088e-007, +4.92114720142e-002
+3.00000000000e+005, +1.21570720351e-007, +5.31507422477e-002
+4.00000000000e+005, +1.20235899355e-007, +5.64516449768e-002
+5.00000000000e+005, +1.19246260845e-007, +5.93126919252e-002
+6.00000000000e+005, +1.18523685358e-007, +6.17798110858e-002
+7.00000000000e+005, +1.17945199181e-007, +6.41387252138e-002
+8.00000000000e+005, +1.17485437119e-007, +6.62304346192e-002
+9.00000000000e+005, +1.17097684006e-007, +6.82008748957e-002
+1.00000000000e+006, +1.16789105018e-007, +7.00707703001e-002
+1.10000000000e+006, +1.16509185952e-007, +7.16595640701e-002
+1.20000000000e+006, +1.16278348753e-007, +7.32399227014e-002
+1.30000000000e+006, +1.16060974953e-007, +7.46976356634e-002
+1.40000000000e+006, +1.15883468744e-007, +7.61728367984e-002
+1.50000000000e+006, +1.15829304956e-007, +7.65809629561e-002
+1.60000000000e+006, +1.15558294829e-007, +7.96467428313e-002
+1.70000000000e+006, +1.15423699951e-007, +8.03415370370e-002
+1.80000000000e+006, +1.15309959468e-007, +8.14566130934e-002
+1.90000000000e+006, +1.15191154229e-007, +8.25348070103e-002
+2.00000000000e+006, +1.15081799763e-007, +8.42856382345e-002
+2.10000000000e+006, +1.15030063144e-007, +8.45768836634e-002
+2.20000000000e+006, +1.14936178172e-007, +8.57894375360e-002
+2.30000000000e+006, +1.14863645876e-007, +8.67332220521e-002
+2.40000000000e+006, +1.14815083424e-007, +8.73817834988e-002
+2.50000000000e+006, +1.14736970867e-007, +8.87417025737e-002
+2.60000000000e+006, +1.14674842583e-007, +8.96806873363e-002
+2.70000000000e+006, +1.14619643213e-007, +9.03886778637e-002
+2.80000000000e+006, +1.14573760013e-007, +9.12480445243e-002
+2.90000000000e+006, +1.14532919320e-007, +9.22127470411e-002
+3.00000000000e+006, +1.14491209057e-007, +9.31101973247e-002
+3.10000000000e+006, +1.14449585830e-007, +9.37803761012e-002
+3.20000000000e+006, +1.14415135414e-007, +9.46693538120e-002
+3.30000000000e+006, +1.14376768089e-007, +9.54400751840e-002
+3.40000000000e+006, +1.14348875953e-007, +9.61529521563e-002
+3.50000000000e+006, +1.14329808946e-007, +9.72056826219e-002
+3.60000000000e+006, +1.14273639296e-007, +9.73872763660e-002
+3.70000000000e+006, +1.14284244112e-007, +9.83177254267e-002
+3.80000000000e+006, +1.14255632971e-007, +9.88997364054e-002
+3.90000000000e+006, +1.14177817732e-007, +9.94817077115e-002
+4.00000000000e+006, +1.14218721050e-007, +1.00249822397e-001
+4.10000000000e+006, +1.14209739184e-007, +1.00954503171e-001
+4.20000000000e+006, +1.14211815530e-007, +1.01950364491e-001
+4.30000000000e+006, +1.14173545846e-007, +1.02290053388e-001
+4.40000000000e+006, +1.14162439829e-007, +1.02994942198e-001
+4.50000000000e+006, +1.14159344942e-007, +1.03587421855e-001
+4.60000000000e+006, +1.14149883488e-007, +1.04087707503e-001
+4.70000000000e+006, +1.14136533969e-007, +1.04975839279e-001
+4.80000000000e+006, +1.14129936517e-007, +1.05405812651e-001
+4.90000000000e+006, +1.14123163541e-007, +1.06195786391e-001
+5.00000000000e+006, +1.14130055636e-007, +1.06761112452e-001
+5.10000000000e+006, +1.14130721693e-007, +1.07380854738e-001
+5.20000000000e+006, +1.14127684580e-007, +1.08103466919e-001
+5.30000000000e+006, +1.14124060659e-007, +1.08676858308e-001
+5.40000000000e+006, +1.14122606670e-007, +1.09263589955e-001
+5.50000000000e+006, +1.14126392980e-007, +1.09941255643e-001
+5.60000000000e+006, +1.14125388158e-007, +1.10452941197e-001
+5.70000000000e+006, +1.14132149987e-007, +1.11050052787e-001
+5.80000000000e+006, +1.14134417846e-007, +1.11593849829e-001
+5.90000000000e+006, +1.14143059845e-007, +1.12159887649e-001
+6.00000000000e+006, +1.14150646461e-007, +1.12723566559e-001
+6.10000000000e+006, +1.14153788461e-007, +1.13324283692e-001
+6.20000000000e+006, +1.14164628383e-007, +1.13769359075e-001
+6.30000000000e+006, +1.14162999602e-007, +1.14334125151e-001
+6.40000000000e+006, +1.14172447609e-007, +1.14996404532e-001
+6.50000000000e+006, +1.14183329487e-007, +1.15166415302e-001
+6.60000000000e+006, +1.14194357367e-007, +1.15983308763e-001
+6.70000000000e+006, +1.14204487394e-007, +1.16613228301e-001
+6.80000000000e+006, +1.14214619014e-007, +1.17213915525e-001
+6.90000000000e+006, +1.14227018457e-007, +1.17746961192e-001
+7.00000000000e+006, +1.14231454696e-007, +1.18177461570e-001
+7.10000000000e+006, +1.14255676623e-007, +1.18501226122e-001
+7.20000000000e+006, +1.14271966842e-007, +1.19195630947e-001
+7.30000000000e+006, +1.14288927119e-007, +1.19672689632e-001
+7.40000000000e+006, +1.14301798087e-007, +1.20199019731e-001
+7.50000000000e+006, +1.14316476666e-007, +1.20774269964e-001
+7.60000000000e+006, +1.14330455301e-007, +1.21261170338e-001
+7.70000000000e+006, +1.14347731079e-007, +1.21809215469e-001
+7.80000000000e+006, +1.14364734579e-007, +1.22364410914e-001
+7.90000000000e+006, +1.14378999811e-007, +1.22849689205e-001
+8.00000000000e+006, +1.14396908437e-007, +1.23902973378e-001
+8.10000000000e+006, +1.14415930292e-007, +1.24093660563e-001
+8.20000000000e+006, +1.14437267201e-007, +1.24571516674e-001
+8.30000000000e+006, +1.14454792105e-007, +1.25133695179e-001
+8.40000000000e+006, +1.14474733170e-007, +1.25872221637e-001
+8.50000000000e+006, +1.14495123329e-007, +1.26290118534e-001
+8.60000000000e+006, +1.14520043918e-007, +1.26498643626e-001
+8.70000000000e+006, +1.14545184450e-007, +1.27192207098e-001
+8.80000000000e+006, +1.14564242181e-007, +1.27770428567e-001
+8.90000000000e+006, +1.14589377842e-007, +1.28234301427e-001
+9.00000000000e+006, +1.14613129108e-007, +1.28777605525e-001
+9.10000000000e+006, +1.14638780639e-007, +1.29345984422e-001
+9.20000000000e+006, +1.14662087697e-007, +1.29744632956e-001
+9.30000000000e+006, +1.14688342906e-007, +1.30328847953e-001
+9.40000000000e+006, +1.14709819570e-007, +1.31109415686e-001
+9.50000000000e+006, +1.14737902351e-007, +1.30962213620e-001
+9.60000000000e+006, +1.14762594267e-007, +1.32122697622e-001
+9.70000000000e+006, +1.14789317750e-007, +1.32787496266e-001
+9.80000000000e+006, +1.14818529643e-007, +1.33236639164e-001
+9.90000000000e+006, +1.14845843192e-007, +1.33838634155e-001
+1.00000000000e+007, +1.14876070532e-007, +1.34273744932e-001
END
