!Keysight Technologies,E4990A,MY54403790,A.04.00
!Date: Tue Mar 19 12:03:54 2024

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.00000000000e+005, +9.20412201722e-007, +3.33661634809e-002
+2.00000000000e+005, +9.09733072914e-007, +4.53119036531e-002
+3.00000000000e+005, +9.04174349556e-007, +5.42320195416e-002
+4.00000000000e+005, +9.00891223577e-007, +6.16684997261e-002
+5.00000000000e+005, +8.98620633861e-007, +6.82284910957e-002
+6.00000000000e+005, +8.96889868097e-007, +7.38333794828e-002
+7.00000000000e+005, +8.95559759746e-007, +7.93964976687e-002
+8.00000000000e+005, +8.94515920010e-007, +8.43523873963e-002
+9.00000000000e+005, +8.93630231085e-007, +8.90826530912e-002
+1.00000000000e+006, +8.92896647469e-007, +9.36362498708e-002
+1.10000000000e+006, +8.92254185376e-007, +9.78460125667e-002
+1.20000000000e+006, +8.91717382868e-007, +1.01826942839e-001
+1.30000000000e+006, +8.91225363618e-007, +1.05610947716e-001
+1.40000000000e+006, +8.90783413061e-007, +1.09376062169e-001
+1.50000000000e+006, +8.90393372561e-007, +1.13772138748e-001
+1.60000000000e+006, +8.89916061872e-007, +1.18315981674e-001
+1.70000000000e+006, +8.89618063217e-007, +1.21627894961e-001
+1.80000000000e+006, +8.89330246810e-007, +1.25271501504e-001
+1.90000000000e+006, +8.89065931215e-007, +1.28691653464e-001
+2.00000000000e+006, +8.88851567249e-007, +1.31763955312e-001
+2.10000000000e+006, +8.88586915450e-007, +1.35394123055e-001
+2.20000000000e+006, +8.88367153907e-007, +1.38728431996e-001
+2.30000000000e+006, +8.88185804551e-007, +1.41802696782e-001
+2.40000000000e+006, +8.87957928970e-007, +1.44653369524e-001
+2.50000000000e+006, +8.87813227436e-007, +1.47786746805e-001
+2.60000000000e+006, +8.87646950635e-007, +1.50518720305e-001
+2.70000000000e+006, +8.87494719120e-007, +1.53348994744e-001
+2.80000000000e+006, +8.87350915843e-007, +1.56426484424e-001
+2.90000000000e+006, +8.87219401355e-007, +1.59049810584e-001
+3.00000000000e+006, +8.87092867147e-007, +1.61966760974e-001
+3.10000000000e+006, +8.86971641727e-007, +1.64598645835e-001
+3.20000000000e+006, +8.86841603282e-007, +1.67224327642e-001
+3.30000000000e+006, +8.86734586496e-007, +1.69989885320e-001
+3.40000000000e+006, +8.86619330843e-007, +1.72649647113e-001
+3.50000000000e+006, +8.86504641184e-007, +1.75428829776e-001
+3.60000000000e+006, +8.86487515400e-007, +1.77813063945e-001
+3.70000000000e+006, +8.86362992068e-007, +1.80172354996e-001
+3.80000000000e+006, +8.86283069137e-007, +1.82793119615e-001
+3.90000000000e+006, +8.86175989340e-007, +1.85484381787e-001
+4.00000000000e+006, +8.86124025066e-007, +1.87834356690e-001
+4.10000000000e+006, +8.86052767380e-007, +1.90062529925e-001
+4.20000000000e+006, +8.85974908806e-007, +1.92744070745e-001
+4.30000000000e+006, +8.85905515015e-007, +1.94695539446e-001
+4.40000000000e+006, +8.85848173984e-007, +1.97100456662e-001
+4.50000000000e+006, +8.85794607909e-007, +1.99583646999e-001
+4.60000000000e+006, +8.85740540797e-007, +2.01862613093e-001
+4.70000000000e+006, +8.85682563289e-007, +2.04329019291e-001
