!Keysight Technologies,E4990A,MY54403790,A.04.00
!Date: Tue Mar 19 12:01:47 2024

BEGIN CH1_DATA
Frequency(Hz), Ls(H)-data, Rs(Ohm)-data
+1.00000000000e+005, +7.33972841440e-007, +2.84974948465e-002
+2.00000000000e+005, +7.24849862301e-007, +3.85766983449e-002
+3.00000000000e+005, +7.20178007308e-007, +4.60839494991e-002
+4.00000000000e+005, +7.17349492712e-007, +5.23295865658e-002
+5.00000000000e+005, +7.15477675593e-007, +5.78658302807e-002
+6.00000000000e+005, +7.14023559976e-007, +6.26509971997e-002
+7.00000000000e+005, +7.12880028081e-007, +6.73757099258e-002
+8.00000000000e+005, +7.11994887481e-007, +7.15233249602e-002
+9.00000000000e+005, +7.11252036801e-007, +7.54935825053e-002
+1.00000000000e+006, +7.10636720427e-007, +7.93298542382e-002
+1.10000000000e+006, +7.10087013073e-007, +8.28749975917e-002
+1.20000000000e+006, +7.09637978246e-007, +8.62582756262e-002
+1.30000000000e+006, +7.09211321190e-007, +8.94181018013e-002
+1.40000000000e+006, +7.08842257055e-007, +9.25013722215e-002
+1.50000000000e+006, +7.08530282637e-007, +9.61193837177e-002
+1.60000000000e+006, +7.08113791834e-007, +1.00089347001e-001
+1.70000000000e+006, +7.07844677352e-007, +1.03001629639e-001
+1.80000000000e+006, +7.07613093286e-007, +1.05908541205e-001
+1.90000000000e+006, +7.07387130097e-007, +1.08589862560e-001
+2.00000000000e+006, +7.07204202517e-007, +1.11346860453e-001
+2.10000000000e+006, +7.06984795443e-007, +1.14287888145e-001
+2.20000000000e+006, +7.06812685340e-007, +1.16943416526e-001
+2.30000000000e+006, +7.06639067263e-007, +1.19663967117e-001
+2.40000000000e+006, +7.06487658995e-007, +1.22157480443e-001
+2.50000000000e+006, +7.06332325664e-007, +1.24819647664e-001
+2.60000000000e+006, +7.06188427781e-007, +1.27262265302e-001
+2.70000000000e+006, +7.06061413518e-007, +1.29517461908e-001
+2.80000000000e+006, +7.05927208658e-007, +1.32110456801e-001
+2.90000000000e+006, +7.05822477690e-007, +1.34309765674e-001
+3.00000000000e+006, +7.05705297313e-007, +1.36860620636e-001
+3.10000000000e+006, +7.05604431801e-007, +1.38951326207e-001
+3.20000000000e+006, +7.05504583825e-007, +1.41251065393e-001
+3.30000000000e+006, +7.05409824050e-007, +1.43525510761e-001
+3.40000000000e+006, +7.05319248049e-007, +1.45669286016e-001
+3.50000000000e+006, +7.05209114834e-007, +1.47411559126e-001
+3.60000000000e+006, +7.05198107503e-007, +1.49056494932e-001
+3.70000000000e+006, +7.05088310259e-007, +1.52022206014e-001
+3.80000000000e+006, +7.05012256911e-007, +1.54020107753e-001
+3.90000000000e+006, +7.04964076626e-007, +1.56696510510e-001
+4.00000000000e+006, +7.04876098256e-007, +1.58053347820e-001
+4.10000000000e+006, +7.04821998142e-007, +1.60073574151e-001
+4.20000000000e+006, +7.04748532792e-007, +1.62055241752e-001
+4.30000000000e+006, +7.04691459788e-007, +1.64235709082e-001
+4.40000000000e+006, +7.04640598749e-007, +1.66233622083e-001
+4.50000000000e+006, +7.04606169153e-007, +1.68082763440e-001
+4.60000000000e+006, +7.04541196009e-007, +1.69910113633e-001
+4.70000000000e+006, +7.04492344211e-007, +1.72072570531e-001
